nyelv,count
magyar,2
latin,1
magyar,4
magyar,5
latin,1
latin,12
magyar,5
latin,1
magyar,18
magyar,3
