RMNYStat-ID,RMNY-BibliográfiaiHalmaz,RMNY-Sorszám,RMNY-Jel,Hely,Év,RMNYStat-C-Tulajdonos,RMNYStat-C-Őrzőhely,RMNYStat-C-Időpont,RMNYStat-Forrás,Forrás-Kötet,RMNYStat-Forrás-Oldalszám,RMNYStat-Forrás-Tételszám,RMNYStat-C-Megjegyzés,,,,,,,,,,
RMNY1758,RMNY,1758,,Bártfa,1639,Rákóczi-család,Sárospatak,1660,KKK,1,69,154,,,,,,,,,,,
RMNY1758,RMNY,1758,,Bártfa,1639,Jezsuita rendház,Kassa,1680,Adattár,17/1,40,,,,,,,,,,,,
RMNY1758,RMNY,1758,,Bártfa,1639,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,306,,,,,,,,,,,,
RMNY1758,RMNY,1758,,Bártfa,1639,Franz Ernest Brückmann,Wolffenbüttel,1741,Adattár,13/7,342,,,,,,,,,,,,
RMNY1766,RMNY,1766,,Gyulafehérvár,1639,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,106,,,,,,,,,,,,
RMNY1772,RMNY,1772,,Lőcse,1639,Ráday-család,Pécel,1730,KKK,7,208,,,,,,,,,,,,
RMNY1781,RMNY,1781,,Nagyszombat,1694,Batthyány Lajos,Wien,1743,KKK,12,851,,,,,,,,,,,,
RMNY1787,RMNY,1787,,Pozsony,1639,Batthyány Ádám,Németújvár,1651,KKK,4,215,,,,,,,,,,,,
RMNY1788,RMNY,1788,,Pozsony,1639,Batthyány Ádám,Németújvár,1651,KKK,4,203,,,,,,,,,,,,
RMNY1788,RMNY,1788,,Pozsony,1639,Jezsuita rendház,Pozsony,1663,Adattár,17/1,210,,,,,,,,,,,,
RMNY1825,RMNY,1825,,Gyulafehérvár,1640,Rákóczi-család,Sárospatak,1660,KKK,1,36,,,,,,,,,,,,
RMNY1825,RMNY,1825,,Gyulafehérvár,1640,Református Kollégium,Debrecen,1738,Adattár,19/2,122,,,,,,,,,,,,
RMNY1826,RMNY,1826,,Gyulafehérvár,1640,Rákóczi-család,Sárospatak,1660,KKK,1,52,76,,,,,,,,,,,
RMNY1826,RMNY,1826,,Gyulafehérvár,1640,Bethlen-kollégium,Nagyenyed,1762,KKK,10,149,,,,,,,,,,,,
RMNY1826,RMNY,1826,,Gyulafehérvár,1640,Bethlen Elek,Keresd,1683,Adattár,16/3,18,,,,,,,,,,,,
RMNY1827,RMNY,1827,,Gyulafehérvár,1640,Rákóczi-család,Sárospatak,1660,KKK,1,57,100,,,,,,,,,,,
RMNY1827,RMNY,1827,,Gyulafehérvár,1640,Rákóczi-család,Sárospatak,1660,KKK,1,137,493,,,,,,,,,,,
RMNY1827,RMNY,1827,,Gyulafehérvár,1650,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,15,,,,,,,,,,,,
RMNY1827,RMNY,1827,,Gyulafehérvár,1640,Teleki Sándor,Marosvásárhely,1750,Adattár,16/7,35,,,,,,,,,,,,
RMNY1828,RMNY,1828,,Kolozsvár,1641,Rákóczi-család,Sárospatak,1660,KKK,1,119,403,,,,,,,,,,,
RMNY1836,RMNY,1836,,Lőcse,1640,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,304,,,,,,,,,,,,
RMNY1841,RMNY,1841,,Pozsony,1640,Rákóczi-család,Sárospatak,1660,KKK,1,152,573,,,,,,,,,,,
RMNY1841,RMNY,1841,,Pozsony,1640,Bethlen Elek,Keresd,1683,Adattár,16/3,19,,,,,,,,,,,,
RMNY1849,RMNY,1849,,Pozsony,1640,Rákóczi-család,Sárospatak,1660,KKK,1,74,180,,,,,,,,,,,
RMNY1849,RMNY,1849,,Pozsony,1640,Batthyány Ádám,Németújvár,1651,KKK,4,203,,,,,,,,,,,,
RMNY1850,RMNY,1850,,Pozsony,1640,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,271,,,,,,,,,,,,
RMNY1850,RMNY,1850,,Pozsony,1640,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,350,,,,,,,,,,,,
RMNY1852,RMNY,1852,,Pozsony,1640,Rákóczi-család,Sárospatak,1660,KKK,1,36,20,,,,,,,,,,,
RMNY1863,RMNY,1863,,Nagyvárad,1640,Bethlen-kollégium,Nagyenyed,1762,KKK,10,47,,,,,,,,,,,,
RMNY1867,RMNY,1867,,Bártfa,1641,Rákóczi-család,Sárospatak,1660,KKK,1,152,569,,,,,,,,,,,
RMNY1867,RMNY,1867,,Bártfa,1641,Bethlen-kollégium,Nagyenyed,1762,KKK,10,213,,,,,,,,,,,,
RMNY1876,RMNY,1876,,Debrecen,1641,Rákóczi-család,Sárospatak,1660,KKK,1,133,475,,,,,,,,,,,
RMNY1877,RMNY,1877,,Gyulafehérvár,"1635, 1641",Rákóczi-család,Sárospatak,1660,KKK,1,38,30,"""I. Rákóczi György fejedelem e könyv egy példányát ajándékozta a debreceni Református Kollégium Könyvtárának. Ma is megvan, jelzete: C 34 (RMK 229). Kötésén kívül: „RAKOCZI / GYORGY / KEGYELMES / FEIEDELEM / VRVNK / AZ DEBR / ECCL SZAM / CONF PROD / AN D 1641""; a címelőzéklap rectón: „Illustrissimus ac Celsissimus Princeps Domi-nus Dominus Georgius Rakoczi DEI gratia Princeps Transylvaniae partium Regni Hungariae Dominus et Siculorum Comes etc. Dominus noster Clemen-tissimus ex pio animi zelo et affectu, hunc LIBRVM ad usum SCHOLAE DEBRECIENSIS perpetuum, gratiose contulit et donavit, in Judicatu Nobilis ac Circumspecti Joannis Bomemiszsza etc. Debrecini die 28 Mensis Decembris Anno D. Supra Millesimum Sexcentesimum Quadragesimo primo Ladislaus B. Thuri, Juris Notarius manu propria""; a nyomtatás elkezdését Rákóczi hírül adta Tolnai Istvánnak 1636. augusztus 12-én: ,,... most is két prelumon nyomtatnak, egyiken az lengyelországi socinianusok könyve ellen Alstedius munkáját ..."" (Szilágyi Sándor, PEIL 1875. 802.)"" KKK 1 30 (38)",,,,,,,,,,
RMNY1877,RMNY,1877,,Gyulafehérvár,1641,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,16,,,,,,,,,,,,
RMNY1877,RMNY,1877,,Gyulafehérvár,1641,Református Kollégium,Debrecen,1738,Adattár,19/2,28,,,,,,,,,,,,
RMNY1879,RMNY,1879,,Gyulafehérvár,1641,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,14,,,,,,,,,,,,
RMNY1880,RMNY,1880,,Gyulafehérvár,1641,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,14,,,,,,,,,,,,
RMNY1881,RMNY,1881,,Gyulafehérvár,1641,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,14,,,,,,,,,,,,
RMNY1884,RMNY,1884,,Gyulafehérvár,1641,Rákóczi-család,Sárospatak,1660,KKK,1,55,91,,,,,,,,,,,
RMNY1884,RMNY,1884,,Gyulafehérvár,1641,Bethlen-kollégium,Nagyenyed,1762,KKK,10,132,,,,,,,,,,,,
RMNY1886,RMNY,1886,,Kolozsvár,1641,Rákóczi-család,Sárospatak,1660,KKK,1,50,69,,,,,,,,,,,
RMNY1891,RMNY,1891,,Lőcse,1641,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,257,,,,,,,,,,,,
RMNY1893,RMNY,1893,,Lőcse,1641,Bethlen-kollégium,Nagyenyed,1762,KKK,10,304,,,,,,,,,,,,
RMNY1901,RMNY,1901,,Pozsony,1641,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,291,,,,,,,,,,,,
RMNY1910,RMNY,1910,,Trencsén,1641,Rákóczi-család,Sárospatak,1660,KKK,1,149,556,,,,,,,,,,,
RMNY1914,RMNY,1914,,Nagyvárad,1641,Rákóczi-család,Sárospatak,1660,KKK,1,47,53,,,,,,,,,,,
RMNY1914,RMNY,1914,,Nagyvárad,1641,Bethlen-kollégium,Nagyenyed,1762,KKK,10,151,,,,,,,,,,,,
RMNY1915,RMNY,1915,,Nagyvárad,1641,Bethlen-kollégium,Nagyenyed,1762,KKK,10,248,,,,,,,,,,,,
RMNY1926,RMNY,1926,,Gyulafehérvár,1642,Rákóczi-család,Sárospatak,1660,KKK,1,40,40,,,,,,,,,,,
RMNY1941,RMNY,1941,,Lőcse,1642,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,239,,,,,,,,,,,,
RMNY1941,RMNY,1941,,Lőcse,1642,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,266,,,,,,,,,,,,
RMNY1952,RMNY,1952,,Pozsony,1642,Nádasdy Ferenc,Pottendorf,1669,KKK,8,344,,,,,,,,,,,,
RMNY1952,RMNY,1952,,Pozsony,1642,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,222,,,,,,,,,,,,
RMNY1964,RMNY,1964,,Trencsén,1642,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,241,,,,,,,,,,,,
RMNY1976,RMNY,1976,,Nagyvárad,1643,Rákóczi-család,Sárospatak,1660,KKK,1,119,405,,,,,,,,,,,
RMNY1982,RMNY,1982,,Bártfa,1643,Rákóczi-család,Sárospatak,1660,KKK,1,63,127,,,,,,,,,,,
RMNY1995,RMNY,1995,,Gyulafehérvár,1643,Bethlen-kollégium,Nagyenyed,1762,KKK,10,308,,,,,,,,,,,,
RMNY1995,RMNY,1995,,Gyulafehérvár,1643,Bethlen-kollégium,Nagyenyed,1762,KKK,10,413,,,,,,,,,,,,
RMNY1998,RMNY,1998,,Gyulafehérvár,1643,Ráday-család,Pécel,1730,KKK,7,169,,,,,,,,,,,,
RMNY1998,RMNY,1998,,Gyulafehérvár,1643,Bethlen-kollégium,Nagyenyed,1762,KKK,10,270,,,,,,,,,,,,
RMNY2004,RMNY,2004,,Lőcse,1643,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
RMNY2015,RMNY,2015,,Lőcse,1643,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,241,,,,,,,,,,,,
RMNY2016,RMNY,2016,,Pozsony,1643,Batthyány Ádám,Németújvár,1654,KKK,4,251,,,,,,,,,,,,
RMNY2016,RMNY,2016,,Pozsony,1643,Nádasdy Ferenc,Pottendorf,1669,KKK,8,343,,,,,,,,,,,,
RMNY2018,RMNY,2018,,Pozsony,1643,Batthyány Ádám,Németújvár,1651,KKK,4,197,,,,,,,,,,,,
RMNY2018,RMNY,2018,,Pozsony,1643,Nádasdy Ferenc,Pottendorf,1669,KKK,8,527,,,,,,,,,,,,
RMNY2018A,RMNY,2018,A,Pozsony,1643,Batthyány Ádám,Németújvár,1651,KKK,4,199,,,,,,,,,,,,
RMNY2019,RMNY,2019,,Pozsony,1643,Rákóczi-család,Sárospatak,1660,KKK,1,150,559,,,,,,,,,,,
RMNY2023,RMNY,2023,,Pozsony,1643,Nádasdy Ferenc,Pottendorf,1669,KKK,8,343,,,,,,,,,,,,
RMNY2023,RMNY,2023,,Pozsony,1643,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,222,,,,,,,,,,,,
RMNY2040,RMNY,2040,,Nagyvárad,1643,Rákóczi-család,Sárospatak,1660,KKK,1,36,21,,,,,,,,,,,
RMNY2040,RMNY,2040,,Nagyvárad,1643,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,297,,,,,,,,,,,,
RMNY2047,RMNY,2047,,Bártfa,1644,Rákóczi-család,Sárospatak,1660,KKK,1,120,407,,,,,,,,,,,
RMNY2047,RMNY,2047,,Bártfa,1644,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,304,,,,,,,,,,,,
RMNY2049,RMNY,2049,,Bártfa,1644,Galambos István,Kassa,1664,Adattár,15,61,,,,,,,,,,,,
RMNY2059,RMNY,2059,,Gyulafehérvár,1644,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,106,,,,,,,,,,,,
RMNY2074,RMNY,2074,,Lőcse,1645,Rákóczi-család,Sárospatak,1660,KKK,1,153,578,,,,,,,,,,,
RMNY2075,RMNY,2075,,Pozsony,1644,Nádasdy Ferenc,Pottendorf,1669,KKK,8,467,,,,,,,,,,,,
RMNY2089,RMNY,2089,,Nagyvárad,1644,Ráday-család,Pécel,1730,KKK,7,172,,,,,,,,,,,,
RMNY2089,RMNY,2089,,Nagyvárad,1644,Bethlen-kollégium,Nagyenyed,1762,KKK,10,415,,,,,,,,,,,,
RMNY2089,RMNY,2089,,Nagyvárad,1644,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,127,,,,,,,,,,,,
RMNY2096,RMNY,2096,,Wien,1645,Nádasdy Ferenc,Pottendorf,1669,KKK,8,467,,,,,,,,,,,,
RMNY2097,RMNY,2097,,Wien,1645,Batthyány Ádám,Németújvár,1651,KKK,4,200,,,,,,,,,,,,
RMNY2099,RMNY,2099,,Frankfurt am Main,1645,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,89,,,,,,,,,,,,
RMNY2099,RMNY,2099,,Frankfurt am Main,1644,Ráday-család,Pécel,1730,KKK,7,139,,,,,,,,,,,,
RMNY2099,RMNY,2099,,Frankfurt am Main,1645,Nádasdy Ferenc,Pottendorf,1669,KKK,8,457,,,,,,,,,,,,
RMNY2101,RMNY,2101,,Gyulafehérvár,1645,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,15,,,,,,,,,,,,
RMNY2101,RMNY,2101,,Gyulafehérvár,1645,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,106,,,,,,,,,,,,
RMNY2103,RMNY,2103,,Gyulafehérvár,1645,Rákóczi-család,Sárospatak,1660,KKK,1,47,54,,,,,,,,,,,
RMNY2103,RMNY,2103,,Gyulafehérvár,1645,Bethlen-kollégium,Nagyenyed,1762,KKK,10,105,,,,,,,,,,,,
RMNY2105,RMNY,2105,,Gyulafehérvár,1645,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,106,,,,,,,,,,,,
RMNY2112,RMNY,2112,,Pozsony,1645,Batthyány Ádám,Németújvár,1651,KKK,4,214,,,,,,,,,,,,
RMNY2120,RMNY,2120,,Lőcse,1645,Rákóczi-család,Sárospatak,1660,KKK,1,86,250,,,,,,,,,,,
RMNY2122,RMNY,2122,,Trencsén,1645,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,275,,,,,,,,,,,,
RMNY2124,RMNY,2124,,Nagyvárad,1645,Rákóczi-család,Sárospatak,1660,KKK,1,52,74,,,,,,,,,,,
RMNY2124,RMNY,2124,,Nagyvárad,1645,Bethlen-kollégium,Nagyenyed,1762,KKK,10,107,,,,,,,,,,,,
RMNY2124,RMNY,2124,,Nagyvárad,1645,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,123,,,,,,,,,,,,
RMNY2127,RMNY,2127,,Nagyvárad,1645,Rákóczi-család,Sárospatak,1660,KKK,1,48,59,,,,,,,,,,,
RMNY2127,RMNY,2127,,Nagyvárad,1645,Bethlen-kollégium,Nagyenyed,1762,KKK,10,166,,,,,,,,,,,,
RMNY2127,RMNY,2127,,Nagyvárad,1645,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
RMNY2130,RMNY,2130,,Nagyvárad,1645,Bethlen-kollégium,Nagyenyed,1762,KKK,10,385,,,,,,,,,,,,
RMNY2130,RMNY,2130,,Nagyvárad,1645,Váradi György,Losonc,1682,Adattár,13/2,114,,,,,,,,,,,,
RMNY2141,RMNY,2141,,Gyulafehérvár,1646,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,20,,,,,,,,,,,,
RMNY2156,RMNY,2156,,Trencsén,1646,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,241,,,,,,,,,,,,
RMNY2160,RMNY,2160,,Nagyvárad,1646,Bethlen-kollégium,Nagyenyed,1762,KKK,10,118,,,,,,,,,,,,
RMNY2160,RMNY,2160,,Nagyvárad,1646,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,105,,,,,,,,,,,,
RMNY2170,RMNY,2170,,Gyulafehérvár,1647,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,21,,,,,,,,,,,,
RMNY2171,RMNY,2171,,Gyulafehérvár,1647,Batthyány Ádám,Németújvár,1651,KKK,4,201,,,,,,,,,,,,
RMNY2171,RMNY,2171,,Gyulafehérvár,1647,Batthyány Ádám,Németújvár,1654,KKK,4,242,,,,,,,,,,,,
RMNY2171,RMNY,2171,,Gyulafehérvár,1647,Bethlen-kollégium,Nagyenyed,1762,KKK,10,60,,,,,,,,,,,,
RMNY2184,RMNY,2184,,Lőcse,1647,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,257,,,,,,,,,,,,
RMNY2187,RMNY,2187,,Lőcse,1647,Batthyány Ádám,Németújvár,1651,KKK,4,195,,,,,,,,,,,,
RMNY2191,RMNY,2191,,Trencsén,1647,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,255,,,,,,,,,,,,
RMNY2191,RMNY,2191,,Trencsén,1647,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,275,,,,,,,,,,,,
RMNY2196,RMNY,2196,,Utrecht,1647,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
RMNY2197,RMNY,2197,,Nagyvárad,1647,Rákóczi-család,Sárospatak,1660,KKK,1,52,74,,,,,,,,,,,
RMNY2197,RMNY,2197,,Nagyvárad,1647,Ráday-család,Pécel,1730,KKK,7,164,,,,,,,,,,,,
RMNY2197,RMNY,2197,,Nagyvárad,1647,Bethlen-kollégium,Nagyenyed,1762,KKK,10,108,,,,,,,,,,,,
RMNY2197,RMNY,2197,,Nagyvárad,1647,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,123,,,,,,,,,,,,
RMNY2197,RMNY,2197,,Nagyvárad,1647,Református Kollégium,Debrecen,1738,Adattár,19/2,122,,,,,,,,,,,,
RMNY2201,RMNY,2201,,Amszterdam,1648,Rákóczi-család,Sárospatak,1660,KKK,1,75,186,,,,,,,,,,,
RMNY2201,RMNY,2201,,Amszterdam,1648,Ráday-család,Pécel,1730,KKK,7,216,,,,,,,,,,,,
RMNY2201,RMNY,2201,,Amszterdam,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,307,,,,,,,,,,,,
RMNY2201,RMNY,2201,,Amszterdam,1648,Krizbai György,Kolozsvár,1713,Adattár,16/2,68,,,,,,,,,,,,
RMNY2206,RMNY,2206,,Brassó,1648,Rákóczi-család,Sárospatak,1660,KKK,1,57,98,,,,,,,,,,,
RMNY2208,RMNY,2208,,Gyulafehérvár,1648,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,21,,,,,,,,,,,,
RMNY2226,RMNY,2226,,Lőcse,1648,Batthyány Lajos Ernő,Wien,1743,KKK,12,183,,,,,,,,,,,,
RMNY2231,RMNY,2231,,Lőcse,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,383,,,,,,,,,,,,
RMNY2231,RMNY,2231,,Lőcse,1648,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
RMNY2231,RMNY,2231,,Lőcse,1648,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,104,,,,,,,,,,,,
RMNY2231,RMNY,2231,,Lőcse,1648,Szepesi György,Marosvásárhely,1707,Adattár,16/2,98,,,,,,,,,,,,
RMNY2236,RMNY,2236,,Nagyszombat,1648,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,348,,,,,,,,,,,,
RMNY2238,RMNY,2238,,Pozsony,1648,Jezsuita rendház,Kassa,1680,Adattár,17/1,85,,,,,,,,,,,,
RMNY2238,RMNY,2238,,Pozsony,1648,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,263,,,,,,,,,,,,
RMNY2238,RMNY,2238,,Pozsony,1648,Jezsuita rendház,Zsolna,1712,Adattár,19/1,400,,,,,,,,,,,,
RMNY2247,RMNY,2247,,Utrecht,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,364,,,,,,,,,,,,
RMNY2248,RMNY,2248,,Utrecht,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,364,,,,,,,,,,,,
RMNY2249,RMNY,2249,,Utrecht,1648,Batthyány Ádám,Németújvár,1651,KKK,4,206,,,,,,,,,,,,
RMNY2249,RMNY,2249,,Utrecht,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,303,,,,,,,,,,,,
RMNY2249,RMNY,2249,,Utrecht,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,364,,,,,,,,,,,,
RMNY2250,RMNY,2250,,Utrecht,1648,Bethlen-kollégium,Nagyenyed,1762,KKK,10,364,,,,,,,,,,,,
RMNY2260,RMNY,2260,,Gyulafehérvár,1649,Rákóczi-család,Sárospatak,1660,KKK,1,57,103,,,,,,,,,,,
RMNY2267,RMNY,2267,,Lőcse,1649,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
RMNY2269,RMNY,2269,,Lőcse,1649,Batthyány Ádám,Németújvár,1651,KKK,4,194,,,,,,,,,,,,
RMNY2269,RMNY,2269,,Lőcse,1649,Batthyány Ádám,Németújvár,1651,KKK,4,194,,,,,,,,,,,,
RMNY2271,RMNY,2271,,Lőcse,1649,Batthyány Ádám,Németújvár,1654,KKK,4,251,,,,,,,,,,,,
RMNY2276,RMNY,2276,,Lőcse,1649,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,257,,,,,,,,,,,,
RMNY2281,RMNY,2281,,Nagyszombat,1649,Jezsuita rendház,Kassa,1680,Adattár,17/1,27,,,,,,,,,,,,
RMNY2286,RMNY,2286,,Trencsén,1649,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,254,,,,,,,,,,,,
RMNY2287,RMNY,2287,,Trencsén,1649,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
RMNY2290,RMNY,2290,,Trencsén,1649,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,255,,,,,,,,,,,,
RMNY2297,RMNY,2297,,Nagyvárad,1649,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,15,,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Rákóczi-család,Sárospatak,1660,KKK,1,52,74,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Ráday-család,Pécel,1730,KKK,7,164,,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Ráday-család,Pécel,1730,KKK,7,188,,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Bethlen-kollégium,Nagyenyed,1762,KKK,10,109,,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,123,,,,,,,,,,,,
RMNY2298,RMNY,2298,,Nagyvárad,1649,Református Kollégium,Debrecen,1738,Adattár,19/2,122,,,,,,,,,,,,
RMNY2300,RMNY,2300,,Nagyvárad,1649,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,105,,,,,,,,,,,,
RMNY2304,RMNY,2304,,Amszterdam,1650,Ráday-család,Pécel,1730,KKK,7,184,,,,,,,,,,,,
RMNY2304,RMNY,2304,,Amszterdam,1650,Bethlen-kollégium,Nagyenyed,1762,KKK,10,410,,,,,,,,,,,,
RMNY2308,RMNY,2308,,Bártfa,1650,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
RMNY2309,RMNY,2309,,Bártfa,1650,Rákóczi-család,Sárospatak,1660,KKK,1,53,80,,,,,,,,,,,
RMNY2309,RMNY,2309,,Bártfa,1650,Ráday-család,Pécel,1730,KKK,7,176,,,,,,,,,,,,
RMNY2309,RMNY,2309,,Bártfa,1650,Nádasdy Ferenc,Pottendorf,1669,KKK,8,557,,,,,,,,,,,,
RMNY2309,RMNY,2309,,Bártfa,1650,Bethlen-kollégium,Nagyenyed,1762,KKK,10,36,,,,,,,,,,,,
RMNY2310,RMNY,2310,,Bártfa,1650,Rákóczi-család,Sárospatak,1660,KKK,1,57,99,,,,,,,,,,,
RMNY2310,RMNY,2310,,Bártfa,1650,Ráday-család,Pécel,1730,KKK,7,176,,,,,,,,,,,,
RMNY2310,RMNY,2310,,Bártfa,1650,Bethlen-kollégium,Nagyenyed,1762,KKK,10,134,,,,,,,,,,,,
RMNY2318,RMNY,2318,,Lőcse,1650,Batthyány Ádám,Németújvár,1651,KKK,4,217,,,,,,,,,,,,
RMNY2320,RMNY,2320,,Lőcse,1650,Jezsuita rendház,Zsolna,1712,Adattár,19/1,388,,,,,,,,,,,,
RMNY2330,RMNY,2330,,Lőcse,1650,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,260,,,,,,,,,,,,
RMNY2332,RMNY,2332,,Lőcse,1650,Batthyány Ádám,Németújvár,1651,KKK,4,195,,,,,,,,,,,,
RMNY2336,RMNY,2336,,Pozsony,1643,Batthyány Ádám,Németújvár,1651,KKK,4,205,,,,,,,,,,,,
RMNY2338,RMNY,2338,,Pozsony,1650,Jezsuita rendház,Kassa,1680,Adattár,17/1,60,,,,,,,,,,,,
RMNY2340,RMNY,2340,,Pozsony,1650,Jezsuita rendház,Pozsony,1663,Adattár,17/1,211,,,,,,,,,,,,
RMNY2346,RMNY,2346,,Trencsén,1650,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,254,,,,,,,,,,,,
RMNY2353,RMNY,2353,,Nagyvárad,1650,Bethlen-kollégium,Nagyenyed,1762,KKK,10,418,,,,,,,,,,,,
RMNY2357,RMNY,2357,,Nagyvárad,1650,Református Kollégium,Debrecen,1738,Adattár,19/2,128,,,,,,,,,,,,
RMNY2360,RMNY,2360,,Wien,1651,Batthyány Ádám,Németújvár,1651,KKK,4,196,,,,,,,,,,,,
RMNY2360,RMNY,2360,,Wien,1651,Barkóczy Ferenc,Eger,1765,KKK,11,185,,,,,,,,,,,,
RMNY2362,RMNY,2362,,Debrecen,1651,Bethlen-kollégium,Nagyenyed,1762,KKK,10,371,,,,,,,,,,,,
RMNY2366,RMNY,2366,,Gyulafehérvár,1651,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,16,,,,,,,,,,,,
RMNY2367,RMNY,2367,,Gyulafehérvár,1651,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,21,,,,,,,,,,,,
RMNY2367,RMNY,2367,,Gyulafehérvár,1651,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,106,,,,,,,,,,,,
RMNY2379,RMNY,2379,,Lőcse,1651,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,241,,,,,,,,,,,,
RMNY2381,RMNY,2381,,Lőcse,1651,Rákóczi-család,Sárospatak,1660,KKK,1,148,545,,,,,,,,,,,
RMNY2381,RMNY,2381,,Nagyszombat,1651,Jezsuita rendház,Znióváralja,1704,Adattár,11,551,,,,,,,,,,,,
RMNY2381,RMNY,2381,,Lőcse,1651,Jezsuita rendház,Kassa,1680,Adattár,17/1,86,,,,,,,,,,,,
RMNY2392,RMNY,2392,,Sárospatak,1651,Rákóczi-család,Sárospatak,1660,KKK,1,50,68,,,,,,,,,,,
RMNY2394,RMNY,2394,,Trencsén,1651,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,253,,,,,,,,,,,,
RMNY2402,RMNY,2402,,Nagyvárad,1651,Ráday-család,Pécel,1730,KKK,7,163,,,,,,,,,,,,
RMNY2404,RMNY,2404,,Nagyvárad,1651,Bethlen-kollégium,Nagyenyed,1762,KKK,10,246,,,,,,,,,,,,
RMNY2405,RMNY,2405,,Nagyvárad,1651,Ráday-család,Pécel,1730,KKK,7,180,,,,,,,,,,,,
RMNY2405,RMNY,2405,,Nagyvárad,1651,Bethlen-kollégium,Nagyenyed,1762,KKK,10,330,,,,,,,,,,,,
