data,method,estimation,richness,min,max
latin,plus_minimal,chao1,1336.00,1234.04,1415.10
latin,plus_minimal,ichao1,1460.15,1368.65,1560.57
latin,plus_minimal,ace,1265.28,1180.94,1356.40
latin,plus_minimal,jackknife,1937.00,1590.38,2283.62
latin,plus_minimal,egghe_proot,1588.45,1506.92,1776.14
