id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk6119,RMNY,621,,,0,,0
ermk6120,RMNY,622,,Budapest Nat phot. (partim) – Levoča Arch 1,1,,0
ermk6122,RMNY,623,,Budapest Acad 1 – Budapest Nat 2* 4 – Cluj Univ 1,4,"Sárospatak, ref. coll.",1
ermk6123,RMNY,624,,Budapest Acad phot. – Cluj Acad II 2,1,,0
ermk6124,RMNY,625,,Budapest Acad 1 (Bécs) – Cluj Univ 4,2,"Budapest, Akad.",1
ermk6125,RMNY,626,,Budapest Nat 3 (Lugossy József) + phot. (Cluj) – Cluj Acad II 1 2,3,"Szászváros, ref. gimn.",1
ermk6126,RMNY,627,,Budapest Nat phot. (Cluj) – Cluj Theol Ref 3 (Szászváros ref. gymn.) – Cluj Univ 1,2,,0
ermk6127,RMNY,628,,Budapest Acad 4,1,,0
ermk6128,RMNY,629,,Budapest Ref 1,1,,0
ermk6129,RMNY,630,,Budapest Ref 1 – Budapest Univ 2 – Olomouc Univ 1,3,,0
ermk6130,RMNY,631,,,0,,0
ermk6131,RMNY,632,,"Aiud 1 – Alba Iulia 1 – Bratislava MS 1 (Pozsony, franc. zárda) 1 2* 2* – Brno Univ 1 – Budapest Acad 1 1 1 – Budapest Acad Lingu 2 – Budapest Nat 1 1 2 – Budapest Ref 1 1 – Budapest Univ 1 – Cluj Acad I 1 1 – Cluj Univ 1 3* – Debrecen Ref 2 – Debrecen Univ 1 – Dolný Kubín MS 3* – Eger Dioec 2* – Esztergom Dioec 1 – Gyöngyös 1 1 – Kalocsa Dioec 1 – Košice Scient 1 – Martin MS 2* – Nové Mesto nad Váhom Cath 2 – Pannonhalma 2* – Pécs Univ 2 – Sárospatak Ref 1 – Szeged Civ 2 – Szeged Univ 1 – Székesfehérvár Dioec 2 – Veszprém Dioec 1 – Zagreb Univ 2*",40,"Kolozsvár, ref. coll. – Malacky, františ. (Gajdoš, Vševlad J.: Františkánská knižnica v Malackách. Bratislava 1943, 20) – Szepesváralja, káptalan – Szombathely, dominic. zárda",4
ermk6132,RMNY,633,,"Alba Iulia 1 – Bratislava Capit 1 – Bratislava MS 1 1 1 – Brno Univ 1 – Budapest Acad 1 1 1 2* – Budapest Nat 1 1 – Budapest Ref 1 1 – Budapest Univ 1 – Cluj Acad I 1 – Cluj Acad II 1 – Cluj Univ 1 – Debrecen Ref 1 – Debrecen Univ 1 – Dolný Kubín MS 3 – Esztergom Dioec 1 – Gyöngyös Nat 1 1 1 1 1 – Kalocsa Dioec 1 – Martin MS 1 (Pozsony, franc. zárda) – Pécs Univ 2 – Sárospatak Ref 2* – Szécsény Cath O O – Szeged Civ 1 – Szeged Univ 2 (Szeged franc. zárda) – Székesfehérvár Dioec 3 – Veszprém Dioec 1",37,"Kolozsvár, minor. zárda – Szeged, kegyesrendi ház",2
ermk6133,RMNY,634,,Budapest Nat phot. – Sibiu Mus 1 – Wien Nat 1,2,,0
ermk6134,RMNY,635,,Budapest Nat 4 4,2,,0
ermk6135,RMNY,636,,,0,"Sárospatak, ref. coll.",1
ermk6136,RMNY,637,,Bratislava Boris Bálent 2 – Budapest Acad 1 1 – Budapest Nat 1 1,5,Sárospatak,1
ermk6137,RMNY,638,,Alba Iulia 2* – Bratislava MS 1 – Bucureşti Acad 1 – Budapest Acad 1 1 1 – Budapest Nat 1 1 1 – Budapest Ref 2 – Budapest Univ 1 – Cluj Univ 1 – Debrecen Ref 2* – Debrecen Univ 3 – Göttingen Univ O – Győr Semin 2* – Jasov MS 1 – Kalocsa Dioec 1 – Košice Scient 2* – Kraków Acad 1 – Kraków Czartoryski 1 – Kraków Univ 2 – Leiden Univ 1 – London BM 1 – München Nat 1 – Pannonhalma 1 – Płock Semin O – Poznań Civ 1 – Poznań Univ O – Praha Strahov O O – Szeged Univ 1 – Tîrgu Mureş 1 – Warszawa Univ 1 O O – Wrocław Univ 1 1 – Zirc 1 – etc.,39,,0
ermk6138,RMNY,639,,Budapest Nat phot. – Debrecen Ref 1,1,,0
,RMNY,640,,Budapest Acad phot. – Budapest Nat. phot. – Cluj Acad II 2,1,,0
ermk6141,RMNY,641,,Budapest Acad phot. – Cluj Acad II 1,1,,0
ermk6142,RMNY,642,,Budapest Nat phot. – Kežmarok Ev 1,1,,0
ermk6143,RMNY,643,,,0,,0
ermk6144,RMNY,644,,Budapest Acad phot. – Cluj Acad I 1,1,,0
ermk6145,RMNY,645,,Budapest Ref 1,1,,0
ermk6146,RMNY,646,,Budapest Acad 4 (RMK I 251) – Budapest Nat 4 4 4,4,,0
ermk6147,RMNY,647,,Budapest Univ 1,1,,0
ermk6148,RMNY,648,,Budapest Acad 4 – Budapest Nat 4,2,,0
ermk6149,RMNY,649,,Budapest Nat phot. – Pannonhalma 4,1,"Körmend, Batthyány (MKsz 1892–1893: 221)",1
ermk6150,RMNY,650,,,0,,0
ermk6151,RMNY,651,,,0,,0
,RMNY,652,,"Alba Iulia 2* 2 – Bratislava Acad 1 – Bratislava Capit 4 – Bratislava Univ 1 О – Budapest Acad 2 2 2 4 – Budapest Ev 2 – Budapest Nat 2* 2* 4 – Budapest Ref 1 1 (Nagykőrös, lyc.) 2* 2 – Budapest Univ 1 – Cluj Acad II 2* 3* 3 3 4 – Cluj Acad III 3 3 4 – Cluj Univ 1 1 – Debrecen Ref 2 – Debrecen Univ 2 – Jasov MS 2 – Kalocsa Dioec 3* – Kecskemét Ref 2 – København Reg 1 – Košice Scient 2 – Olomouc Univ 3* – Oponice 1 1 1 4 – Prešov Scient 2 – Rožnava Ev 2 – Sabinov 4 – Sárospatak Cath – Sárospatak Ref 2* 2* – Szeged Civ 2 – Tîrgu Mureş 2* 3 – Topoľčianky 2* – Vizsoly Ref 2 – Wien Nat 3",53,Debrecen ref. coll. (expl. 2) – Máramarossziget ref. lyc. – Miskolc minor. rend. – Sopron ev. lyc.,5
ermk6153,RMNY,653,,Bratislava Boris Bálent 3 – Budapest Acad 1 (Haan Lajos) – Budapest Nat 1,3,,0
ermk6155,RMNY,654,,Budapest Nat 1 – Kežmarok Ev 1,2,,0
ermk6156,RMNY,655,,Budapest Acad 1 – Kežmarok Ev 1,2,Sárospatak,1
ermk6157,RMNY,656,,Budapest Acad 2* – Budapest Nat phot. (Kežmarok) – Kežmarok Ev 1,2,,0
ermk6158,RMNY,657,,Budapest Acad 1 – Debrecen Ref 2 – Debrecen Ref Arch 1 – Sárospatak Ref 1 – Tîrgu Mureş 2*,5,,0
ermk6159,RMNY,658,,Budapest Acad 1 – Kežmarok Ev 1,2,,0
ermk6160,RMNY,659,,Budapest Nat phot. – Kežmarok Ev 1,1,,0
ermk6161,RMNY,660,,Budapest Nat 4,1,,0
ermk6162,RMNY,661,,Budapest Nat 2 – Budapest Ref 1 – Cluj Univ 3,3,Szatmárnémeti Schlauch Lőrinc,1
ermk6163,RMNY,662,,Budapest Acad 1 – Budapest Nat 1 – Budapest Ref 2*,3,,0
ermk6164,RMNY,663,,Budapest Nat 2* (Lugossy József),1,,0
ermk6165,RMNY,664,,Budapest Nat 1 – Budapest Ref 1,2,,0
ermk6167,RMNY,665,,Aiud 4 – Budapest Acad 1 2* – Budapest Nat 1 – Cluj Acad II 3 – Cluj Univ 1 2 – Olomouc Univ 1 – Sárospatak Ref 2*,9,"Kunszentmiklós, ref. gimn. (Hárs János: A debreceni aritmetika. Sárospatak 1938, 158) – Marosvásárhely, Teleki – Sepsiszentgyörgy, Mus (Varga 25)",3
ermk6168,RMNY,666,,Budapest Ref 3,1,,0
ermk6169,RMNY,667,,,0,,0
ermk6170,RMNY,668,,Budapest Nat 1,1,,0
ermk6171,RMNY,669,,,0,,0
ermk6173,RMNY,670,,Budapest Acad 3 – Budapest Nat 2* 3 – Tîrgu Mureş 3,4,"Budapest, Kornfeld Móric (Index ms) – Szombathely, franc. zárda – Zágráb, érsekség",3
ermk6174,RMNY,671,,Budapest Acad 1 2* 3 – Budapest Ev 2 – Budapest Nat 1 2 – Cluj Univ 1 – Esztergom Dioec 2 – Olomouc Univ 1 – Pannonhalma 2,10,"Szombathely, franc. zárda",1
ermk6175,RMNY,672,,Budapest Nat 1 – London BM 1 1,3,,0
ermk6176,RMNY,673,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6177,RMNY,674,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6178,RMNY,675,,Budapest Nat phot. – Sibiu Mus 1 3*,2,,0
ermk6179,RMNY,676,,Budapest Nat 4 4,2,"Sárospatak, ref. coll. (MKsz 1911: 57–58)",1
ermk6181,RMNY,677,,Bratislava Boris Bálent 4 – Budapest Acad 1 1 – Budapest Nat 1 2* – Budapest Univ 1 – Dolný Kubín MS 3 – Halle Hung 1 1 – Kežmarok Ev 1 1,11,"Esztergom, Simor (Catalogus Bibliothecae Joannis Cardinalis Simor. Strigonii 1887, I 622) – Sárospatak",2
ermk6185,RMNY,678,,Budapest Nat 3* (Schlauch Lőrinc) – Kežmarok Ev 1,2,,0
ermk6186,RMNY,679,,Budapest Acad 1,1,,0
ermk6188,RMNY,680,,Budapest Nat 4,1,"Budapest, Széll Farkas (MKsz 1892: 221–222)",1
ermk6189,RMNY,681,,Budapest Acad phot. – Budapest Nat phot. – Cluj Univ 2*,1,,0
ermk6191,RMNY,682,,,0,,0
ermk6192,RMNY,683,,Budapest Nat 1 – Budapest Ref 1,2,"Budapest, Kornfeld Móric (Index ms)",1
ermk6193,RMNY,684,,Budapest Acad 1,1,,0
ermk6194,RMNY,685,,Budapest Nat 1,1,"Budapest, Kornfeld Móric (Index ms)",1
ermk6195,RMNY,686,,Budapest Acad 1 – Budapest Nat 1 – Budapest Ref 1 – Cluj Univ 1 – Tîrgu Mureş 3,5,,0
ermk6196,RMNY,687,,Budapest Acad 2 – Budapest Nat 1 – Budapest Ref 1 – Cluj Univ 1 – Debrecen Ref 2*,5,,0
ermk6197,RMNY,688,,,0,,0
ermk6198,RMNY,689,,,0,,0
ermk6199,RMNY,690,,Budapest Nat phot. (Cluj) – Budapest Ref 1 – Cluj Univ 1,2,"Budapest, Kornfeld Móric (Index ms)",1
ermk6201,RMNY,691,,Budapest Nat 1,1,,0
ermk6202,RMNY,692,,Budapest Nat phot. – Cluj Arch O*,1,,0
ermk6203,RMNY,693,,Budapest Acad 1,1,,0
ermk6204,RMNY,694,,,0,,0
ermk6205,RMNY,695,,,0,,0
ermk6206,RMNY,696,,,0,,0
ermk6207,RMNY,697,,,0,,0
ermk6208,RMNY,698,,Budapest Nat phot. (partim),0,"Budapest, Kornfeld Móric (Index ms)",1
ermk6209,RMNY,699,,Budapest Nat 4,1,,0
ermk6210,RMNY,700,,,0,,0
ermk6211,RMNY,701,,,0,"Körmend, Batthyány (Dézsi: Suppl. 17)",1
ermk6212,RMNY,702,,,0,,0
ermk6213,RMNY,703,,,0,,0
ermk6214,RMNY,704,,Budapest Nat 4,1,,0
ermk6215,RMNY,705,,"Budapest Acad 1 (Budapest, Nemz. Múz.) – Debrecen Ref 2* – London BM 2 (Nagy István) – Sárospatak Ref 2*",4,,0
ermk6216,RMNY,706,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6217,RMNY,707,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6218,RMNY,708,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6220,RMNY,709,,Budapest Acad 1 1 – Budapest Nat 1 1 – Halle Univ O,5,"Esztergom, Simor",1
ermk6221,RMNY,710,,Bratislava Boris Bálent 1 – Budapest Acad 1 (Ráth) – Budapest Nat 1 – Halle Hung 1 – Kežmarok Ev 1,5,"Budapest, Akad. – Sárospatak, ref. coll.",2
ermk6222,RMNY,711,,Bratislava Boris Bálent 3* – Budapest Acad 1 1 – Budapest Nat 1 1 – Cluj Univ 2* – Halle Hung 1 1 – Kežmarok Ev 1 2,10,,0
ermk6223,RMNY,712,,Budapest Acad phot. – Praha Mus 3,1,,0
,RMNY,713,,Budapest Acad 2* (Eperjes) – Budapest Nat 2* – Sárospatak Ref 4,3,"Alsósebes, franc, zárda (MKsz 1878: 315)",1
ermk6225,RMNY,714,,Budapest Acad phot. – Kežmarok Ev 1,1,,0
ermk6226,RMNY,715,,Banská Štiavnica Mus 2 – Budapest Acad 1 1 (Hann Lajos) – Budapest Nat 1 1 – Halle Hung 1 – Prešov Scient 1 – Sárospatak Ref 2*,8,,0
ermk6228,RMNY,716,,Budapest Nat phot. – Debrecen Ref 1,1,,0
ermk6229,RMNY,717,,,0,"Budapest, Széll Farkas (MKsz 1892–1893: 222)",1
ermk6230,RMNY,718,,Budapest Acad 1 (RMK II 240) – Budapest Nat 1 – Cluj Univ 2,3,,0
ermk6232,RMNY,719,,"Agnita Mus O – Aiud 2 2 – Alba Iulia 1 – Braşov Arch 1 (Brassó, ev. gymn.) – Bratislava MS 1 – Budapest Acad 1 1 1 – Budapest Nat 1 1 2* 2 – Budapest Ref 1 – Budapest Univ 1 – Budapest Univ Jus Rom 1 – Cluj Acad II 1 2* – Cluj Acad III 3 – Cluj Univ 2* – Debrecen Ref 1 – Debrecen Univ 2* – Dolný Kubín MS 1 – Eger Dioec 1 – Keszthely 1 – Kežmarok Ev 1 1 – Levoča Ev 1 1 – Odorhei 1 – Pannonhalma 2* – Prešov Scient 2* – Sárospatak Ref 1 – Sibiu Arch 1 – Sibiu Mus 1 1 – Tîrgu Mureş 1 1 1 2 – Zagreb Univ 2 – Zirc 2",42,"Arad, főgimn. – Késmárk, ev. lyc. (expl. 3.) – Sepsiszentgyörgy, Mus (Varga 26)",3
ermk6233,RMNY,720,,,0,,0
ermk6234,RMNY,721,,,0,"Brassó, ev. gymn. – Budapest, Kornfeld Móric (Index ms)",2
ermk6235,RMNY,722,,Budapest Acad 1,1,,0
ermk6236,RMNY,723,,,0,,0
ermk6237,RMNY,724,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6238,RMNY,725,,,0,,0
ermk6239,RMNY,726,,"Bratislava MS 1 (Pozsony, fr. z.) – Budapest Acad 1 – Budapest Nat 1 – Budapest Univ 1 – Cluj Univ 2* – Gyöngyös 1 – Pannonhalma 1 – Wien Nat 1",8,"Németújvár, franc. zárda",1
ermk6240,RMNY,727,,Budapest Nat phot. (partim),0,"Budapest, Kornfeld Móric (Index ms)",1
ermk6241,RMNY,728,,"Sárospatak, ref. coll.",1,,0
ermk6242,RMNY,729,,"Budapest Acad 1 (Budapest, Nemz. Múz.) – Budapest Nat 1",2,"Budapest, Kornfeld Móric (Index ms) – Sárospatak, ref. coll.",2
ermk6243,RMNY,730,,Budapest Acad 1,1,"Leipzig, Albert Fidelis Butsch (Weller, Emil: Die ersten deutschen Zeitungen. Tübingen 1872, 773)",1
ermk6244,RMNY,731,,Budapest Nat 1 2 – Cluj Acad II 1 – Cluj Univ 1 – Zagreb Univ 1,5,"Kolozsvár, Erdélyi Múzeum (expl. 2)",1
ermk6245,RMNY,732,,Alba Iulia 2 – Bratislava MS 4 – Budapest Nat 1,3,,0
ermk6246,RMNY,733,,Budapest Nat 2 – Székesfehérvár Dioec 4,2,"Budapest, Kornfeld Móric (Index ms) – Sárospatak, ref. coll.",2
ermk6247,RMNY,734,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6249,RMNY,735,,Budapest Nat phot. (Graz) – Graz OFM 1 – Ljubljana Semin 1,2,,0
ermk6250,RMNY,736,,Budapest Nat phot. (Graz) – Graz OFM 1 – Ljubljana Semin 1,2,,0
ermk6251,RMNY,737,,Budapest Nat phot. – Graz OFM 1,1,,0
ermk6252,RMNY,738,,Budapest Acad 1 1 – Budapest Nat 2* – Cluj Univ 1 – Debrecen Ref 2 (RMK I 316) – Sárospatak Ref 1,6,,0
ermk6253,RMNY,739,,Budapest Acad phot. – Kremnica Ev 1,1,,0
ermk6256,RMNY,740,,Budapest Nat phot. – Braşov Ev 1,1,,0
ermk6257,RMNY,741,,Budapest Nat phot. – Budapest Csillag István 3 4,2,,0
ermk6258,RMNY,742,,,0,,0
ermk6259,RMNY,743,,Budapest Nat 1 – Tîrgu Mureş 1,2,,0
ermk6260,RMNY,744,,,0,,0
ermk6261,RMNY,745,,"Budapest Nat 1 1 1 – Cambridge, USA Univ O – Madrid Nat 1 – Napoli Nat O – Oxford Bodleiana O – Prešov Scient 2 etc.",8,,0
ermk6262,RMNY,746,,,0,,0
ermk6263,RMNY,747,,,0,,0
ermk6264,RMNY,748,,,0,,0
ermk6265,RMNY,749,,Budapest Acad phot. – Trnava Arch 4 4 4,3,,0
ermk6267,RMNY,750,,Berlin Nat 1 – Budapest Nat phot.,1,,0
ermk6268,RMNY,751,,,0,,0
ermk6269,RMNY,752,,Budapest Nat phot. – Sibiu Mus 1,1,,0
ermk6270,RMNY,753,,,0,,0
ermk6271,RMNY,754,,Budapest Nat phot. – Sibiu Arch 3* 4*,2,,0
ermk6272,RMNY,755,,,0,,0
ermk6274,RMNY,756,,Budapest Nat 1,1,,0
ermk6275,RMNY,757,Vacat!,,0,,0
ermk6276,RMNY,758,,Budapest Nat 1 1 – Kremnica Ev 1,3,,0
ermk6278,RMNY,759,,Budapest Nat 1 1,2,,0
ermk6279,RMNY,760,,Budapest Acad 1 1 – Budapest Nat 1 1 – Budapest Univ 1 – Cluj Univ 1 – Kežmarok Ev 1,7,,0
ermk6281,RMNY,761,,Budapest Acad 4,1,,0
ermk6282,RMNY,762,,Budapest Nat 4 4 + phot. (Sibiu) – Sibiu Arch 1,3,,0
ermk6283,RMNY,763,,,0,"Pozsony, Káptalan (MKsz 1890: 173)",1
ermk6284,RMNY,764,,Budapest Nat 4 – Bytča Arch 3,2,,0
ermk6285,RMNY,765,,Budapest Acad 1 – Budapest Nat 1 2 4,4,,0
ermk6286,RMNY,766,,"Budapest Acad 1 3 – Budapest Nat 1 3 4 – Budapest Univ 3 – Cluj Univ 2 – Debrecen Ref 3 (Budapest, Nemz. Múz.?) – Debrecen Univ 3",9,"Budapest, Kornfeld Móric (Index ms; Marosvásárhely, Teleki).",1
ermk6291,RMNY,767,,Brno Univ 1 – Budapest Acad 1 1 1 1 – Budapest Ev 1 – Budapest Nat 1 1 1 1 – Budapest Univ 1 – Cluj Acad II 1 – Cluj Univ 1 3* – Debrecen Ref 1 – Győr Semin 1 – Pannonhalma 1,17,"Marosvásárhely, Teleki",1
,RMNY,767,A,Wien ÖNB,1,,0
ermk6293,RMNY,768,,,0,,0
ermk6294,RMNY,769,,,0,,0
ermk6295,RMNY,770,,Budapest Acad 1 – Budapest Nat 1 – Budapest Univ 1 – Cluj Univ 1 – Kežmarok Ev 1,5,,0
ermk6296,RMNY,771,,Alba Iulia 1 – Budapest Nat 1,2,,0
ermk6297,RMNY,772,,Bratislava MS 1 – Budapest Mus. 1 (ca. 30 expl.) – Budapest Nat 1 – Eger Dioec 1,33,,0
ermk6298,RMNY,773,,Bratislava MS 1 – Bratislava Univ 1 – Bucureşti Acad 1 – Budapest Acad 1 1 2* – Budapest Ev (Sopron) 1 – Budapest Nat 1 1 – Budapest Ref 1 – Budapest Univ 1 1 1 – Debrecen Ref 2 – Kežmarok Ev 2 – Kremnica Ev 1 – Martin MS 2* – Nitra Arch 2 – Revúca Ev 2* – Sibiu Arch 1 – Sibiu Mus 1 – Tisovec 2,22,,0
ermk6299,RMNY,774,,Budapest Nat 1 – Debrecen Ref 1,2,,0
ermk6300,RMNY,775,,Budapest Nat phot. – Debrecen Ref 1,1,,0
ermk6301,RMNY,776,,,0,"Sárospatak, ref. coll.",1
ermk6302,RMNY,777,,Budapest Nat 1,1,,0
ermk6304,RMNY,778,,Budapest Nat 1 – Debrecen Ref 1,2,,0
ermk6305,RMNY,779,,Budapest Acad phot. (Cluj Univ) – Budapest Nat phot. (Cluj Univ) – Cluj Acad III 4* – Cluj Univ 3*,2,,0
ermk6306,RMNY,780,,Bern Civ 1 – Budapest Nat 1 – Strängnäs 1,3,,0
ermk6308,RMNY,781,,"Alba Iulia 2* – Bratislava Civ 2 (Szentantal, franc. zárda) – Bratislava MS 1 – Bratislava Univ O – Budapest Acad 1 1 1 1 – Budapest Acad Lingu 2 – Budapest Nat 1 1 3* (B-var.) – Budapest Univ 2* – Budapest Zsámár József 1 – Cluj Acad I 2 2 – Cluj Univ 1 – Debrecen Univ 1 – Esztergom Dioec 1 (RMK II 263) – Gyöngyös 1 1 – Kalocsa Dioec 2 – Pannonhalma 1 – Pécs Univ 2* – Sárospatak Ref 1 – Veszprémi Dioec 1 – Zagreb Univ 1",27,,0
ermk6309,RMNY,782,,,0,"Budapest, Nat.",1
ermk6310,RMNY,783,,Budapest Nat 4,1,,0
ermk6311,RMNY,784,,Budapest Nat 1,1,,0
ermk6312,RMNY,785,,Budapest Nat 1 1,2,"Budapest, Kornfeld Móric (Index ms)",1
ermk6314,RMNY,786,,Budapest Acad 1 2* – Budapest Nat 3* – Sárospatak Ref 4* – Sibiu Arch 4 – Tîrgu Mureş 2,6,"Budapest, Nat. (expl. 1) – Budapest, Toldy Ferenc",2
ermk6316,RMNY,787,,Budapest Acad 1 – Debrecen Ref 3*,2,,0
,RMNY,788,,Budapest Acad phot. – Cluj Acad II 1,1,,0
ermk6318,RMNY,789,,Budapest Acad 1 – Budapest Ev 1,2,,0
ermk6319,RMNY,790,,Budapest Acad 1 1 – Budapest Nat 1 – Debrecen Ref 1 – Debrecen Univ 1 – Halle Hung 1 – Kežmarok Ev 1 – Sibiu Mus 1 – Tîrgu Mureş 1,9,"Besztercebánya, ev. algymn.",1
ermk6320,RMNY,791,,Budapest Acad 1 – Budapest Nat 1 – Cluj Acad II 1 – Halle Hung 1 – Kežmarok Ev 1 1,6,,0
ermk6321,RMNY,792,,Budapest Nat 1,1,,0
ermk6322,RMNY,793,,Bratislava Acad 1 2 – Budapest Acad 2 – Budapest Nat 2 2 + phot. suppl. (Bratislava) – Cluj Univ 1 – Nitra Dioec 2 – Pápa Ref 4 – Sárospatak Ref 2 – Tîrgu Mureş 1,10,"Kolozsvár, ref. coll. – Sepsiszentgyörgy, Mus (Varga 30)",2
ermk6323,RMNY,794,,Budapest Nat phot. partim – Sibiu Arch 1,1,,0
ermk6324,RMNY,795,,Budapest Nat phot. – Martin MS 1 4,2,,0
ermk6325,RMNY,796,,Budapest Acad 1,1,,0
ermk6326,RMNY,797,,Budapest Univ 1 – Martin MS 1,2,,0
ermk6329,RMNY,798,,Halle Hung 1,1,,0
ermk6330,RMNY,799,,,0,"Sárospatak, ref. coll.",1
ermk6331,RMNY,800,,,0,"Sárospatak, ref. coll. (MKsz 1911: 55–56)",1
ermk6332,RMNY,801,,Budapest Nat 4,1,,0
ermk6333,RMNY,802,,Budapest Acad phot. (Cluj) – Budapest Nat phot. (Cluj.) – Cluj Acad II 1,1,"Budapest, Kornfeld Móric (Index ms) – Sárospatak ref. coll.",2
ermk6335,RMNY,803,,Budapest Nat 1,1,,0
ermk6336,RMNY,804,,,0,,0
ermk6337,RMNY,805,,Budapest Acad 1 – Cluj Univ 1,2,,0
ermk6338,RMNY,806,,Budapest Nat phot. – Tîrgu Mureş 1,1,,0
ermk6339,RMNY,807,,Budapest Nat 1 – Cluj Univ 3,2,,0
ermk6340,RMNY,808,,Alba Iulia 1 1 – Bratislava MS 1 – Budapest Nat 1 1 – Budapest Univ 1 – Cluj Acad I 1 2 – Cluj Univ 1 1 – Debrecen Univ 1 – Gyöngyös 1 – Pannonhalma 2 – Sibiu Arch 2 – Sibiu Mus 1 – Sighişioara 1 – Tîrgu Mureş 1,17,,0
ermk6342,RMNY,809,,,0,,0
ermk6343,RMNY,810,,Budapest Nat 1 1 – Gyöngyös 1,3,"Budapest, Kornfeld Móric (Index ms) – Szombathely, francisc. zárda",2
ermk6344,RMNY,811,,,0,,0
ermk6345,RMNY,812,,,0,,0
ermk6347,RMNY,813,,Budapest Nat 3,1,,0
ermk6348,RMNY,814,,Budapest Acad 1 – Budapest Nat 1 – Kežmarok Ev 1,3,,0
ermk6349,RMNY,815,,Aiud 2* – Budapest Acad 2* 2 – Budapest Nat 1 2 – Budapest Univ 1 – Cluj Acad II 2 – Cluj Univ 1 (RMK II 277) 2* – Kežmarok Ev 1 – Nyírkáta Oláh Béla 2 – Sárospatak Ref 2 – Sibiu Arch 2 – Tîrgu Mureş 2,14,"Szombathely, papnövelde (RMK II 277)",1
ermk6350,RMNY,816,,Budapest Univ 1,1,,0
ermk6351,RMNY,817,,Budapest Nat 1 1 – Martin MS 1,3,,0
ermk6352,RMNY,818,,Budapest Acad phot. – Cluj Acad II 1,1,,0
ermk6353,RMNY,819,,Budapest Univ 1 – Martin MS 1,2,,0
ermk6354,RMNY,820,,Budapest Nat 1,1,,0
ermk6355,RMNY,821,,Budapest Acad 1 – Budapest Nat 1 – Revúca Ev 1,3,,0
ermk6356,RMNY,822,,Budapest Nat 1,1,,0
ermk6357,RMNY,823,,Budapest Ev 1 – Budapest Nat phot. (Budapest Ev) – Kežmarok Ev 1 – Revúca Ev 1,3,,0
ermk6358,RMNY,824,,Budapest Acad 2* – Budapest Ev 2* – Budapest Nat 1 – Levoča Ev 1,4,,0
ermk6359,RMNY,825,,Budapest Nat phot. partim – Martin MS 1,1,,0
ermk6360,RMNY,826,,Budapest Acad phot. (Debrecen) – Budapest Nat 3* 4 – Debrecen Ref 1,3,,0
ermk6361,RMNY,827,,Budapest Acad 1 1 – Budapest Nat 1 – Halle Hung 1,4,,0
ermk6362,RMNY,828,,Berlin Univ Inst 1 – Bratislava Acad 1 – Budapest Acad 2 (facs. suppl.) 3 3 – Budapest Nat 2* – Cluj Acad II 2* – Cluj Theol Ref 2 – Cluj Univ 2 – Pápa Ref 3 – Sárospatak Ref 2 – Spišská Nova Ves MS 2* (Szepesi káptalan) – Tîrgu Mureş 1,13,,0
ermk6363,RMNY,829,,Betliar O – Bratislava Acad 1 – Bratislava Univ 1 1 – Brno Univ 1 – Budapest Acad 1 – Budapest Ev 1 – Budapest Nat 1 1 – Budapest Univ 1 – Cluj Univ 1 – Debrecen Univ 2* 2 – Göttingen Univ O – Keszthely 1 – Kraków Czartoryski O O – Kraków Univ O – Levoča Ev 1 – München Nat 1 – Pannonhalma 1 – Pápa Ref 2 – Poznań Civ O – Poznań Univ O O – Szeged Civ O – Tîrgu Mureş 1 2 – Wien Nat 1 – Wrocław Univ 1 – etc.,30,,0
ermk6367,RMNY,830,,Bratislava MS 1 – Budapest Acad 1 2* – Budapest Nat 1 2* – Budapest Univ 1 – Cluj Theol Ref 1 – Cluj Univ 1 – Debrecen Ref 2* – Debrecen Univ 2 – Prešov Scient 1 – Sárospatak Ref 3* – Tîrgu Mureş 2,13,"Szászváros, ref. gymn. – Szatmárnémeti, püspökség",2
ermk6371,RMNY,831,,Budapest Acad 4* – Cluj Univ 4*,2,,0
ermk6372,RMNY,832,,,0,,0
ermk6373,RMNY,833,,Budapest Nat 2 (RMK I 433),1,,0
ermk6374,RMNY,834,,Budapest Acad phot. – Košice Dioec 2,1,,0
ermk6375,RMNY,835,,Budapest Nat phot. – Szeged Univ Lit O,1,,0
