01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
140,,"Braşov=1, Budapest=1",
141,,"Budapest=1, Cluj=1",Marosszentkirály
142,,"Braşov=1, Budapest=2, Sighişoara=1",
143,,Sibiu=2,
144,,Gotha=1,
145,,,
146,,Budapest=1,
147,,Sibiu=1,
148,,Budapest=1,Berlin
149,,Debrecen=1,"Gyulafehérvár, Kolozsvár"
150,,,
151,,Wien=1,
152,,Budapest=2,
153,,"Cluj=1, Wrocław=1",
154,,"Alba Iulia=1, Budapest=3, Cluj=2, Debrecen=1","Gyulafehérvár, Bethlen"
155,,Budapest=1,
156,,"Aiud=1, Alba Iulia=1, Berlin=1, Bratislava=2, Budapest=16, Cluj=9, Debrecen=2, Eger=1, Gdańsk=1, Kecskemét=1, Keszthely=1, Kraków=1, London=1, Sárospatak=1, Sibiu=2, Szeged=1, Sepsiszentgyörgy,=1, Tîrgu Mureş=4","Eger, Máramarossziget, Miskolc, Pápa, Szeged"
157,,"Cluj=1, London=1",
158,,"Budapest=1, Stuttgart=1",
159,,Budapest=1,
160,,,
161,,,
162,,"Budapest=3, Cluj=4, Debrecen=1, Sibiu=1","Budapest, Nagyőr, Budapest"
163,,,
164,,"Győr=1, Rein=1, Wien=1",
165,,,Körmend
166,,Budapest=2,
167,,Bucureşti=1,
168,,"Bucureşti=4, Budapest=1, Cluj=1, Sibiu=1",
169,,"Budapest=1, Cluj=1, London=1",
170,,Wolfenbüttel=1,
171,,Cluj=1,
172,,Kistarcsa=1,
173,,Basel=1,
174,,"Budapest=2, Galaţi=1, Leningrad=2, Moskva=1","Brassó, Bucureşti, Ungvár"
175,,Sibiu=1,
177,,"Budapest=1, Debrecen=1, Güssing=1",
178,,Wolfenbüttel=1,
179,Vacat!,,
180,Vacat!,,
181,,"Alba Iulia=1, Budapest=1, Cluj=2, London=1, Sárospatak=1","Budapest, Szatmárnémeti"
182,,London=1,Marosvásárhely
183,,"London=1, Tîrgu Mureş=1",
184,,Budapest=1,
185,,Budapest=2,Budapest
186,,"Alba Iulia=1, Banská Štiavnica=2, Budapest=7, Cluj=7, Debrecen=1, Erlangen=1, Esztergom=1, Gyöngyös=1, Kecskemét=2, Sárospatak=1","Rimaszombat, Sárospatak, Budapest"
187,,"Cluj=2, Sibiu=2",Debrecen
188,,Bucureşti=4,
189,,"Braşov=3, Budapest=1, Cluj=2, Sibiu=6, Sighişoara=1","Budapest, Gyulafehérvár, Szatmárnémeti"
190,,Budapest=1,
191,,,
192,,Budapest=1,
193,,,
194,,"Budapest=4, Cluj=2, Debrecen=2, Esztergom=1, Košice=1, Sárospatak=1, Wolfenbüttel=2",
195,,,
196,,"Aiud=1, Budapest=6, Cluj=2, Debrecen=1, Esztergom=1, Kecskemét=1, Košice=1, Sárospatak=2",Rozsnyó
197,,"Budapest=1, Cluj=1, Sibiu=1, Strängnäs=1, Zwickau=1",
198,,Sibiu=2,
199,,"Alba Iulia=1, Budapest=1, Cluj=1",
200,,Debrecen=1,
201,,"Budapest=3, Tîrgu Mureş=1",
202,,"Bratislava=1, Budapest=2, Cluj=1, Sibiu=1, Sighişoara=1, Tîrgu Mureş=1",Németújvár
