id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5392,RMNY,92,,"Bratislava=1, Budapest=6, Cluj=1, Debrecen=1, København=1, Košice=1","Budapest, Budapest, Szatmárnémeti"
ermk5393,RMNY,93,,,
ermk5394,RMNY,94,,,
ermk5397,RMNY,95,,"Alba Iulia=1, Budapest=7, Cluj=6, Debrecen=1, Gyöngyös=2, Miskolc=1, Nitra=1, Oponice=1",Rimaszombat
ermk5398,RMNY,96,,"Bratislava=2, Budapest=7, Cluj=1, Debrecen=1, København=1, Košice=1","Budapest, Szatmárnémeti"
ermk5399,RMNY,97,,Budapest=1,
ermk5400,RMNY,98,,"Alba Iulia=1, Cluj=1, Stuttgart=1",Tibolddaróc
ermk5401,RMNY,99,,Wien=1,
ermk5404,RMNY,100,,"Budapest=1, Cluj=1",Lőcse
ermk5405,RMNY,101,,Cluj=1,
ermk5406,RMNY,102,,"Bratislava=1, Budapest=3","Budapest, Lőcse"
ermk5407,RMNY,103,,Budapest=2,Budapest
ermk5410,RMNY,104,,"Braşov=1, Budapest=1, Debrecen=1",
ermk5412,RMNY,105,,"Braşov=1, Budapest=2, Sighişoara=1",
ermk5413,RMNY,106,,Braşov=1,
ermk5414,RMNY,107,,Sighişoara=1,
,RMNY,108,,"Budapest=1, Cluj=1",
,RMNY,109,,"Budapest=5, Cluj=1, Halle=1, Sárospatak=1, Wien=1","Budapest, Budapest, Késmárk, Szatmárnémeti"
ermk5418,RMNY,110,,"Braşov=3, Budapest=1",
ermk5419,RMNY,111,,"Braşov=2, Budapest=1",
ermk5420,RMNY,112,,,
ermk5422,RMNY,113,,,
ermk5423,RMNY,114,,,
ermk5424,RMNY,115,,Budapest=1,
ermk5425,RMNY,116,Vacat!,,
ermk5427,RMNY,117,,Braşov=1,
ermk5428,RMNY,118,,Braşov=1,
ermk5429,RMNY,119,,"Tîrgu Mureş=1",
ermk5430,RMNY,120,,"Braşov=1, Budapest=2",
ermk5431,RMNY,121,,"Braşov=1, Budapest=1",
ermk5432,RMNY,122,,"Braşov=1, Budapest=1, Cluj=2, Debrecen=1, Sibiu=1, Tîrgu Mureş=1",Budapest
ermk5434,RMNY,123,,Budapest=1,
ermk5436,RMNY,124,,,
ermk5437,RMNY,125,,Budapest=1,
ermk5438,RMNY,126,,Wien=1,
ermk5439,RMNY,127,,"Budapest=1, Debrecen=1",
ermk5440,RMNY,128,,"Budapest=1, Kraków=1, London=5, CERL=1",
ermk5442,RMNY,129,,,
ermk5443,RMNY,130,,"Budapest=1, Sibiu=2",Brassó
ermk5444,RMNY,131,,Sibiu=1,
ermk5445,RMNY,132,,,
ermk5446,RMNY,133,,"Braşov=1, Sibiu=4, Sighişoara=1",Gyulafehérvár
ermk5447,RMNY,134,,,
ermk5450,RMNY,135,,"Cluj=1, Sighişoara=1",
ermk5451,RMNY,136,,,
ermk5454,RMNY,137,,,
ermk5456,RMNY,138,,"Alba Iulia=1, Braşov=1, Budapest=2, Sibiu=7, Sighişoara=3",
ermk5457,RMNY,139,,"Bucureşti=1, Budapest=1, Sofija=1",
ermk5458,RMNY,140,,"Braşov=1, Budapest=1",
ermk5459,RMNY,141,,"Budapest=1, Cluj=1",Marosszentkirály
ermk5460,RMNY,142,,"Braşov=1, Budapest=2, Sighişoara=1",
ermk5461,RMNY,143,,Sibiu=2,
ermk5462,RMNY,144,,Gotha=1,
ermk5464,RMNY,145,,,
ermk5466,RMNY,146,,Budapest=1,
ermk5467,RMNY,147,,Sibiu=1,
ermk5468,RMNY,148,,Budapest=1,Berlin
ermk5469,RMNY,149,,Debrecen=1,"Gyulafehérvár, Kolozsvár"
ermk5470,RMNY,150,,,
ermk5473,RMNY,151,,Wien=1,
ermk5475,RMNY,152,,Budapest=2,
ermk5476,RMNY,153,,"Cluj=1, Wrocław=1",
ermk5477,RMNY,154,,"Alba Iulia=1, Budapest=3, Cluj=2, Debrecen=1","Gyulafehérvár, Bethlen"
ermk5478,RMNY,155,,Budapest=1,
ermk5479,RMNY,156,,"Aiud=1, Alba Iulia=1, Berlin=1, Bratislava=2, Budapest=16, Cluj=9, Debrecen=2, Eger=1, Gdańsk=1, Kecskemét=1, Keszthely=1, Kraków=1, London=1, Sárospatak=1, Sibiu=2, Szeged=1, Sepsiszentgyörgy,=1, Tîrgu Mureş=4","Eger, Máramarossziget, Miskolc, Pápa, Szeged"
ermk5480,RMNY,157,,"Cluj=1, London=1",
ermk5481,RMNY,158,,"Budapest=1, Stuttgart=1",
ermk5484,RMNY,159,,Budapest=1,
ermk5487,RMNY,160,,,
ermk5489,RMNY,161,,,
ermk5490,RMNY,162,,"Budapest=3, Cluj=4, Debrecen=1, Sibiu=1","Budapest, Nagyőr, Budapest"
ermk5491,RMNY,163,,,
