count
2
10
5
1
1
4
16
14
3
2
13
5
2
3
1
11
4
15
3
5
11
1
1
1
2
2
12
4
1
1
3
5
1
1
4
1
1
3
2
7
1
2
4
6
2
2
2
4
2
1
1
1
2
2
2
2
1
1
9
3
4
14
1
1
5
2
3
1
5
8
1
16
30
1
1
1
1
3
2
2
3
6
11
1
1
10
11
21
3
13
11
4
15
30
16
20
10
2
6
8
7
1
1
4
41
2
1
1
1
2
5
1
1
1
9
2
3
2
1
33
1
1
7
1
1
1
12
1
6
1
1
1
2
1
2
36
1
2
3
1
2
5
1
11
5
71
6
2
1
1
3
16
1
7
1
5
25
1
1
1
2
2
2
2
4
1
1
3
1
1
5
1
1
3
6
3
1
1
1
2
12
1
1
1
6
5
10
1
9
1
49
1
1
9
1
1
2
1
2
1
3
2
1
8
1
6
1
6
5
26
4
1
2
15
7
1
2
2
1
1
22
3
1
3
1
2
3
1
3
4
1
5
1
1
1
44
6
2
5
10
1
1
12
1
1
1
2
1
1
1
1
1
4
4
1
2
2
8
1
4
2
4
13
8
3
14
1
5
4
2
11
9
4
1
1
11
1
25
1
5
2
2
4
2
2
5
1
1
1
7
1
2
1
7
6
3
1
1
6
7
12
1
1
2
1
1
1
1
1
1
1
1
13
29
1
1
1
8
1
2
2
6
2
2
1
2
3
4
1
1
1
1
1
1
1
1
7
30
1
3
1
1
1
3
8
27
2
1
1
2
1
2
11
2
1
1
1
5
1
1
1
3
1
2
1
67
1
1
1
1
1
1
1
1
1
2
1
6
20
1
2
1
1
1
1
11
1
5
1
3
4
1
3
2
6
1
1
1
1
2
2
2
1
1
20
2
1
18
1
3
1
1
6
3
2
2
1
38
1
1
2
3
1
1
1
1
1
5
1
11
1
2
1
1
1
1
15
7
23
1
9
2
3
1
1
1
14
2
8
1
5
6
4
14
6
5
3
1
2
4
1
12
3
3
1
1
1
1
2
2
67
1
4
2
4
12
7
1
1
1
1
1
1
1
1
1
1
3
1
4
2
1
2
2
13
1
6
1
1
1
2
1
3
1
29
1
2
1
1
7
2
1
1
8
1
2
2
1
1
1
23
1
2
3
1
1
49
13
1
1
11
1
5
1
2
1
1
1
1
6
3
1
2
4
6
2
6
1
1
1
1
1
1
7
21
2
4
32
1
9
3
1
1
1
5
1
4
1
2
24
1
1
2
1
8
4
25
3
1
2
1
2
3
2
1
3
5
15
2
3
2
2
1
2
3
1
1
95
3
2
1
2
1
10
11
1
1
1
1
2
1
1
1
1
1
29
3
1
2
2
1
2
9
40
26
6
7
2
1
1
2
2
4
4
1
4
1
1
1
3
6
1
1
1
1
3
4
2
3
10
3
2
2
1
1
2
6
2
6
11
1
3
10
2
25
2
4
6
5
1
1
7
3
4
2
3
3
3
3
2
1
2
1
1
2
1
1
1
2
1
2
2
1
4
28
3
13
9
14
1
2
3
1
2
1
4
1
1
1
2
1
7
2
1
1
1
8
50
10
1
1
7
1
36
3
1
1
1
1
1
1
1
1
1
3
5
10
2
1
3
1
2
1
2
5
1
3
1
1
7
3
2
1
1
28
1
1
1
1
6
1
1
1
20
5
1
51
2
1
1
1
1
9
12
12
1
1
2
2
1
3
3
7
3
4
1
1
5
1
5
1
34
1
3
5
8
8
1
1
8
2
37
4
4
2
30
2
2
2
1
1
1
4
3
1
5
13
1
6
6
1
17
49
4
8
1
2
4
8
3
9
1
5
1
1
3
7
1
8
4
1
2
2
1
1
1
3
6
3
2
45
2
2
2
1
12
12
1
1
3
1
4
6
4
1
5
1
1
1
9
5
9
27
1
1
10
2
2
1
10
11
1
27
1
8
1
1
39
54
1
1
3
5
1
2
3
4
2
42
39
3
2
6
3
5
1
1
30
