nyelv,count
magyar,3
magyar,7
magyar,6
latin,15
latin,8
magyar,1
magyar,39
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,2
magyar,1
magyar,4
magyar,1
magyar,1
magyar,2
magyar,1
német,1
latin,1
latin,2
német,1
német,1
német,1
latin,6
latin,1
magyar,1
latin,1
latin,20
magyar,2
latin,2
magyar,6
német,2
latin,1
latin,1
latin,2
latin,2
latin,1
latin,27
latin,2
latin,12
latin,3
latin,8
latin,3
latin,13
latin,2
latin,1
latin,1
latin,1
latin,1
latin,1
latin,2
latin,1
latin,7
latin,9
latin,8
latin,14
latin,6
latin,1
latin,6
latin,11
latin,5
latin,10
latin,6
magyar,1
magyar,1
latin,1
német,2
latin,1
latin,1
latin,7
latin,1
magyar,3
magyar,1
magyar,2
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,2
latin,4
latin,1
latin,5
magyar,29
magyar,5
latin,5
latin,3
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,2
magyar,1
magyar,3
magyar,2
magyar,2
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
magyar,1
latin,1
magyar,2
magyar,1
magyar,2
magyar,18
latin,2
magyar,3
magyar,13
magyar,26
latin,1
latin,1
latin,9
latin,4
latin,7
latin,2
latin,4
latin,3
latin,3
latin,1
magyar,5
magyar,5
magyar,2
magyar,3
magyar,1
magyar,1
latin,24
latin,3
latin,1
magyar,1
magyar,1
latin,2
latin,1
latin,2
latin,2
latin,1
magyar,3
magyar,16
latin,1
magyar,1
magyar,2
magyar,1
magyar,2
magyar,120
magyar,102
magyar,10
latin,3
latin,6
latin,5
latin,3
latin,4
latin,2
magyar,1
magyar,3
magyar,1
magyar,2
latin,1
magyar,1
magyar,6
magyar,12
magyar,5
latin,8
latin,8
magyar,2
magyar,1
latin,5
német,1
magyar,33
latin,1
magyar,32
magyar,2
magyar,1
magyar,1
magyar,2
magyar,6
magyar,2
magyar,6
magyar,8
magyar,8
magyar,2
német,3
magyar,7
latin,1
latin,2
német,3
magyar,11
magyar,24
latin,18
magyar,18
magyar,26
magyar,6
magyar,1
magyar,27
magyar,22
latin,2
latin,9
latin,3
latin,2
latin,28
latin,6
latin,1
magyar,3
magyar,15
magyar,5
latin,3
magyar,2
magyar,3
magyar,1
magyar,2
magyar,5
magyar,3
latin,1
magyar,1
magyar,6
magyar,5
magyar,3
magyar,5
latin,29
német,1
német,2
német,2
német,1
német,2
német,1
latin,4
latin,1
latin,2
latin,10
német,1
német,5
latin,2
latin,1
latin,1
magyar,2
magyar,1
magyar,1
magyar,2
magyar,3
latin,1
latin,32
magyar,3
magyar,2
magyar,21
magyar,30
latin,26
magyar,2
magyar,1
magyar,53
magyar,6
magyar,32
magyar,3
latin,25
latin,10
magyar,59
latin,2
magyar,7
latin,2
magyar,1
magyar,3
magyar,12
magyar,21
magyar,1
magyar,3
német,4
latin,8
latin,1
magyar,3
magyar,3
latin,1
latin,1
magyar,14
magyar,2
magyar,23
magyar,1
magyar,31
magyar,1
magyar,10
magyar,10
magyar,3
magyar,1
német,1
magyar,5
latin,1
latin,1
latin,4
latin,3
latin,2
latin,1
magyar,1
magyar,20
magyar,6
magyar,10
magyar,1
magyar,2
magyar,2
magyar,3
magyar,5
latin,4
latin,7
latin,3
latin,1
latin,1
latin,7
latin,6
latin,7
latin,3
magyar,3
magyar,2
latin,3
latin,4
latin,1
német,1
német,2
latin,1
latin,3
latin,2
latin,7
latin,5
latin,11
latin,18
latin,11
latin,5
magyar,13
magyar,1
magyar,3
magyar,1
magyar,11
latin,1
német,2
magyar,2
magyar,12
magyar,17
magyar,2
magyar,2
latin,1
latin,1
latin,1
latin,2
latin,1
latin,2
magyar,2
latin,1
latin,1
magyar,5
latin,2
latin,54
magyar,12
latin,1
magyar,2
német,2
német,1
német,1
latin,1
latin,1
német,1
német,1
latin,1
latin,1
magyar,6
magyar,4
magyar,19
magyar,6
magyar,20
magyar,5
magyar,2
magyar,1
latin,2
magyar,5
magyar,3
magyar,3
magyar,1
latin,1
magyar,2
magyar,6
latin,5
német,1
magyar,8
magyar,3
magyar,17
magyar,12
magyar,10
magyar,9
magyar,16
latin,1
latin,2
magyar,1
latin,1
latin,2
magyar,1
latin,10
latin,11
latin,7
latin,28
latin,6
latin,34
magyar,29
magyar,32
latin,2
latin,1
latin,2
német,1
magyar,21
magyar,44
magyar,4
latin,13
latin,1
latin,1
latin,1
magyar,7
magyar,25
magyar,6
magyar,21
magyar,19
magyar,6
magyar,32
magyar,18
magyar,7
magyar,5
magyar,3
magyar,27
magyar,1
latin,2
magyar,20
magyar,18
magyar,20
magyar,15
magyar,18
magyar,7
magyar,21
magyar,9
magyar,13
magyar,10
magyar,8
magyar,8
magyar,2
magyar,10
magyar,9
magyar,2
magyar,4
latin,24
magyar,3
magyar,30
magyar,15
latin,2
latin,1
latin,3
latin,1
latin,6
latin,2
latin,1
latin,7
latin,1
latin,1
latin,7
latin,4
német,1
latin,1
magyar,1
magyar,3
magyar,1
magyar,1
latin,3
magyar,6
magyar,1
magyar,2
magyar,1
magyar,13
magyar,15
latin,3
magyar,4
magyar,19
latin,1
magyar,1
magyar,5
magyar,1
latin,1
magyar,1
magyar,1
magyar,18
magyar,1
magyar,11
magyar,9
latin,5
latin,1
latin,1
latin,7
magyar,6
magyar,3
magyar,1
magyar,1
magyar,3
magyar,7
magyar,12
magyar,13
német,49
magyar,15
magyar,2
magyar,13
magyar,23
magyar,14
magyar,1
magyar,8
magyar,23
latin,1
latin,1
magyar,4
latin,1
latin,3
magyar,1
latin,1
latin,1
magyar,3
magyar,2
latin,3
német,1
latin,4
latin,7
latin,1
latin,1
latin,1
latin,2
latin,1
latin,2
latin,1
latin,1
latin,1
latin,3
latin,1
latin,2
latin,1
latin,1
latin,1
magyar,27
magyar,40
magyar,37
latin,8
magyar,18
latin,1
latin,2
magyar,1
latin,1
latin,37
latin,2
német,1
latin,4
latin,1
német,10
német,3
német,1
német,1
német,4
latin,4
magyar,1
latin,2
magyar,1
magyar,2
latin,7
magyar,3
latin,6
latin,5
latin,4
latin,3
magyar,2
magyar,14
magyar,2
magyar,2
magyar,36
magyar,10
magyar,1
latin,3
latin,1
latin,1
magyar,5
magyar,2
magyar,1
magyar,1
magyar,1
magyar,1
magyar,2
magyar,7
magyar,2
magyar,1
latin,1
magyar,1
német,2
magyar,1
magyar,4
latin,1
latin,5
latin,95
latin,1
latin,2
latin,12
magyar,4
magyar,34
magyar,1
magyar,1
magyar,1
magyar,2
latin,20
latin,30
német,23
magyar,3
magyar,2
magyar,47
latin,4
latin,3
magyar,8
latin,2
magyar,2
magyar,1
latin,1
latin,1
magyar,4
magyar,3
magyar,11
latin,1
latin,8
latin,6
magyar,2
latin,2
latin,30
magyar,28
magyar,7
magyar,4
magyar,5
latin,5
latin,1
magyar,4
magyar,3
magyar,1
magyar,4
magyar,10
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,4
magyar,5
magyar,1
magyar,7
magyar,13
magyar,17
latin,5
magyar,14
magyar,7
magyar,2
latin,14
magyar,4
magyar,3
latin,9
latin,25
magyar,63
magyar,2
magyar,71
magyar,3
magyar,37
magyar,1
latin,6
magyar,5
magyar,1
magyar,66
magyar,134
magyar,1
magyar,6
magyar,3
magyar,4
magyar,3
magyar,13
latin,1
magyar,2
magyar,2
magyar,1
magyar,3
magyar,4
magyar,4
magyar,10
magyar,4
magyar,20
magyar,2
latin,4
latin,1
latin,1
magyar,18
magyar,1
magyar,10
magyar,4
latin,1
latin,5
magyar,2
latin,1
latin,4
latin,2
latin,1
latin,1
latin,1
latin,1
latin,2
latin,1
latin,30
latin,1
latin,1
latin,13
latin,2
latin,3
latin,11
latin,10
latin,1
latin,4
magyar,1
magyar,1
magyar,1
latin,3
latin,6
latin,3
latin,1
magyar,1
latin,1
latin,1
latin,1
latin,1
latin,2
magyar,1
magyar,1
magyar,1
latin,15
magyar,1
magyar,16
magyar,2
magyar,6
magyar,59
latin,1
latin,20
latin,7
magyar,11
német,3
német,1
német,1
latin,1
latin,3
latin,5
latin,2
magyar,1
német,1
latin,49
latin,2
latin,2
német,2
latin,3
latin,10
latin,23
latin,3
magyar,1
magyar,1
magyar,5
latin,7
latin,25
magyar,1
magyar,2
latin,2
latin,1
latin,1
latin,1
magyar,1
latin,51
német,2
német,2
latin,1
latin,2
német,1
német,1
német,2
magyar,1
latin,1
latin,2
latin,2
latin,1
latin,8
magyar,5
magyar,6
latin,3
latin,2
német,1
német,1
magyar,2
latin,5
latin,4
latin,2
latin,13
latin,42
német,2
latin,1
latin,3
latin,1
latin,1
magyar,1
magyar,2
latin,8
latin,2
latin,1
latin,1
latin,1
magyar,2
magyar,23
magyar,40
magyar,8
magyar,3
magyar,1
magyar,1
magyar,18
latin,5
latin,14
magyar,5
magyar,4
latin,1
latin,3
latin,2
latin,13
magyar,59
latin,4
német,1
német,5
német,2
latin,2
latin,5
latin,1
német,1
latin,1
latin,1
latin,1
német,1
német,6
latin,2
német,1
német,6
latin,1
német,1
latin,1
latin,1
latin,4
latin,8
német,1
latin,10
magyar,1
német,1
német,1
német,1
német,1
német,1
német,1
német,2
latin,1
német,1
magyar,39
magyar,26
magyar,34
latin,2
latin,7
latin,1
latin,1
latin,2
latin,1
latin,3
latin,3
latin,3
magyar,1
magyar,3
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,2
magyar,2
magyar,3
magyar,2
magyar,2
magyar,2
magyar,1
magyar,1
német,5
német,4
latin,6
latin,1
latin,2
latin,1
latin,1
latin,4
latin,1
latin,1
latin,3
latin,1
magyar,20
magyar,1
magyar,13
magyar,11
latin,1
német,1
latin,3
latin,3
latin,2
latin,8
latin,5
latin,5
latin,1
latin,1
latin,2
latin,1
latin,9
latin,4
latin,22
latin,1
latin,8
magyar,1
magyar,22
magyar,3
magyar,3
magyar,1
magyar,4
magyar,27
magyar,7
magyar,15
magyar,29
magyar,3
magyar,5
magyar,4
magyar,10
magyar,6
magyar,1
magyar,1
magyar,4
magyar,33
magyar,6
magyar,69
latin,49
magyar,80
magyar,7
magyar,2
latin,5
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
latin,2
latin,1
magyar,47
magyar,1
magyar,1
magyar,2
magyar,1
magyar,1
magyar,3
magyar,1
magyar,1
magyar,1
magyar,1
magyar,6
magyar,1
magyar,54
magyar,13
magyar,4
magyar,4
magyar,4
magyar,18
magyar,1
latin,3
latin,1
magyar,3
magyar,1
magyar,8
magyar,4
magyar,7
magyar,4
latin,1
magyar,9
magyar,12
magyar,3
magyar,7
latin,39
latin,1
latin,2
latin,17
magyar,1
magyar,1
magyar,2
magyar,1
magyar,2
magyar,2
magyar,1
magyar,4
magyar,2
magyar,5
magyar,14
magyar,1
magyar,2
magyar,6
magyar,2
latin,1
magyar,5
magyar,31
magyar,9
magyar,1
magyar,2
magyar,1
magyar,2
magyar,1
magyar,2
magyar,1
magyar,3
magyar,1
latin,1
latin,4
latin,1
latin,3
latin,1
latin,4
latin,3
magyar,3
magyar,6
magyar,5
latin,2
magyar,1
magyar,5
magyar,1
német,3
magyar,16
magyar,21
magyar,1
latin,5
magyar,2
magyar,7
magyar,10
magyar,8
magyar,18
magyar,36
magyar,48
magyar,3
magyar,17
magyar,5
magyar,1
magyar,1
latin,2
latin,23
magyar,3
latin,2
latin,7
német,1
latin,4
latin,3
latin,8
magyar,1
latin,2
német,2
német,2
latin,1
latin,6
latin,2
latin,1
latin,7
latin,2
latin,4
latin,1
latin,2
latin,2
magyar,9
magyar,3
latin,1
latin,1
német,1
német,1
német,2
német,3
német,1
latin,2
latin,1
magyar,54
magyar,6
magyar,5
magyar,10
latin,12
latin,1
latin,3
magyar,16
magyar,2
magyar,5
magyar,4
magyar,7
magyar,1
magyar,1
magyar,1
magyar,4
latin,2
latin,1
latin,5
latin,1
latin,1
latin,4
