RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY-C-3962,,3962,csoportos,eredeti,RMNY899,In 8 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; etc.",,11 expl.,
RMNY-C-3963,,3963,csoportos,eredeti,RMNY899,In 8 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; etc.",,11 expl.,
RMNY-C-3964,,3964,csoportos,eredeti,RMNY899,In 8 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; etc.",,11 expl.,
RMNY-C-3965,,3965,csoportos,eredeti,RMNY899,In 8 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; etc.",,11 expl.,
RMNY-C-3966,,3966,csoportos,eredeti,RMNY899,In 8 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; etc.",,11 expl.,
RMNY-C-3967,,3967,egyedi,phot.,RMNY899A,Budapest,Nat,phot.,,,,,,,
RMNY-C-3968,,3968,egyedi,eredeti,RMNY899A,Pápa,Ref,4,,,,,,,
RMNY-C-3969,,3969,egyedi,eredeti,RMNY899A,Pápa,Ref,4,,,,,,,
RMNY-C-3970,,3970,egyedi,eredeti,RMNY899A,Pápa,Ref,4,,,,,,,
RMNY-C-3971,,3971,egyedi,eredeti,RMNY899A,Pápa,Ref,4,,,,,,,
RMNY-C-3972,,3972,egyedi,eredeti,RMNY900,Budapest,Nat,4,,,,,,,
RMNY-C-3973,,3973,egyedi,eredeti,RMNY901,Budapest,Acad,4,*,,,,,,
RMNY-C-3974,,3974,egyedi,eredeti,RMNY901,Budapest,Nat,1,,,,,,,
RMNY-C-3975,,3975,egyedi,eredeti,RMNY901,Cluj-Napoca,Univ,2,*,,,,,,
RMNY-C-3976,,3976,csoportos,eredeti,RMNY902,In 10 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; Cluj-Napoca, Univ; Debrecen Ref; Tîrgu Mureş; etc.",,13 expl.,
RMNY-C-3977,,3977,csoportos,eredeti,RMNY902,In 10 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; Cluj-Napoca, Univ; Debrecen Ref; Tîrgu Mureş; etc.",,13 expl.,
RMNY-C-3978,,3978,csoportos,eredeti,RMNY902,In 10 bibliothecis,,n.a.,,,,"Budapest Acad, Nat, Univ; Cluj-Napoca, Univ; Debrecen Ref; Tîrgu Mureş; etc.",,13 expl.,
