RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
,,,egyedi,eredeti,RMNY687,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY687,Budapest,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY687,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY687,Debrecen,Ref,2,*,,,,,,
,,,,,RMNY688,,,n.p.,,,,,,,
,,,,,RMNY689,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY690,Budapest,Nat,phot.,,,(Cluj),,,,
,,,egyedi,eredeti,RMNY690,Budapest,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY690,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY691,Budapest,Nat,1,,,,,,,
,,,egyedi,phot.,RMNY692,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY692,Cluj,Arch,0,*,,,,,,
,,,egyedi,eredeti,RMNY693,Budapest,Acad,1,,,,,,,
,,,,,RMNY694,,,n.p.,,,,,,,
,,,,,RMNY695,,,n.p.,,,,,,,
,,,,,RMNY696,,,n.p.,,,,,,,
,,,,,RMNY697,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY698,Budapest,Nat,phot.,,,,,(partim),,
,,,egyedi,eredeti,RMNY699,Budapest,Nat,4,,,,,,,
,,,,,RMNY700,,,n.p.,,,,,,,
,,,,,RMNY701,,,n.p.,,,,,,,
,,,,,RMNY702,,,n.p.,,,,,,,
,,,,,RMNY703,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY704,Budapest,Nat,4,,,,,,,
,,,egyedi,eredeti,RMNY705,Budapest,Acad,1,,,"(Budapest, Nemz. Múz.)",,,,
,,,egyedi,eredeti,RMNY705,Debrecen,Ref,2,*,,,,,,
,,,egyedi,eredeti,RMNY705,London,BM,2,,,(Nagy István),,,,
,,,egyedi,eredeti,RMNY705,Sárospatak,Ref,2,*,,,,,,
,,,egyedi,phot.,RMNY706,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY706,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,phot.,RMNY707,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY707,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,phot.,RMNY708,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY708,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,eredeti,RMNY709,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY709,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY709,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY709,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY709,Halle,Univ,0,,,,,,,
,,,egyedi,eredeti,RMNY710,Bratislava,Boris Bálent,1,,,,,,,
,,,egyedi,eredeti,RMNY710,Budapest,Acad,1,,,(Ráth),,,,
,,,egyedi,eredeti,RMNY710,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY710,Halle,Hung,1,,,,,,,
,,,egyedi,eredeti,RMNY710,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Bratislava,Boris Bálent,3,*,,,,,,
,,,egyedi,eredeti,RMNY711,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Cluj,Univ,2,*,,,,,,
,,,egyedi,eredeti,RMNY711,Halle,Hung,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Halle,Hung,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY711,Kežmarok,Ev,2,,,,,,,
,,,egyedi,phot.,RMNY712,Budapest,Acad,phot.,,,,,,,
,,,egyedi,eredeti,RMNY712,Praha,Mus,3,,,,,,,
,,,egyedi,eredeti,RMNY713,Budapest,Acad,2,*,,(Eperjes),,,,
,,,egyedi,eredeti,RMNY713,Budapest,Nat,2,*,,,,,,
,,,egyedi,eredeti,RMNY713,Sárospatak,Ref,4,,,,,,,
,,,egyedi,phot.,RMNY714,Budapest,Acad,phot.,,,,,,,
,,,egyedi,eredeti,RMNY714,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Banská Štiavnica,Mus,2,,,,,,,
,,,egyedi,eredeti,RMNY715,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Budapest,Acad,1,,,(Hann Lajos),,,,
,,,egyedi,eredeti,RMNY715,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Halle,Hung,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Prešov,Scient,1,,,,,,,
,,,egyedi,eredeti,RMNY715,Sárospatak,Ref,2,*,,,,,,
,,,egyedi,phot.,RMNY716,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY716,Debrecen,Ref,1,,,,,,,
,,,,,RMNY717,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY718,Budapest,Acad,1,,,(RMK II 240),,,,
,,,egyedi,eredeti,RMNY718,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY718,Cluj,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Agnita,Mus,0,,,,,,,
,,,egyedi,eredeti,RMNY719,Aiud,,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Aiud,,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Alba Iulia,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Braşov,Arch,1,,,"(Brassó, ev. gymn.)",,,,
,,,egyedi,eredeti,RMNY719,Bratislava,MS,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Nat,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Nat,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Budapest,Univ Jus Rom,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Cluj,Acad II,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Cluj,Acad II,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Cluj,Acad III,3,,,,,,,
,,,egyedi,eredeti,RMNY719,Cluj,Univ,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Debrecen,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Debrecen,Univ,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Dolný Kubín,MS,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Eger,Dioec,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Keszthely,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Levoča,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Levoča,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Odorhei,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Pannonhalma,,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Prešov,Scient,2,*,,,,,,
,,,egyedi,eredeti,RMNY719,Sárospatak,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Sibiu,Arch,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Sibiu,Mus,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Sibiu,Mus,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,eredeti,RMNY719,Tîrgu Mureş,,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Zagreb,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY719,Zirc,,2,,,,,,,
,,,,,RMNY720,,,n.p.,,,,,,,
,,,,,RMNY721,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY722,Budapest,Acad,1,,,,,,,
,,,,,RMNY723,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY724,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY724,Tîrgu Mureş,,1,,,,,,,
,,,,,RMNY725,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY726,Bratislava,MS,1,,,"(Pozsony, fr. z.)",,,,
,,,egyedi,eredeti,RMNY726,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY726,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY726,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY726,Cluj,Univ,2,*,,,,,,
,,,egyedi,eredeti,RMNY726,Gyöngyös,,1,,,,,,,
,,,egyedi,eredeti,RMNY726,Pannonhalma,,1,,,,,,,
,,,egyedi,eredeti,RMNY726,Wien,Nat,1,,,,,,,
,,,egyedi,phot.,RMNY727,Budapest,Nat,phot.,,,,,(partim),,
,,,,,RMNY728,Sárospatak,Ref,n.p.,,,,,,,"""A sárospataki, címlap nélküli, egyetlen példány, amelyet Szabó Károly (RMK I 274) még ismert, ma már nem található."" - Translatio librorum"
,,,egyedi,eredeti,RMNY729,Budapest,Acad,1,,,"(Budapest, Nemz. Múz.)",,,,
,,,egyedi,eredeti,RMNY729,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY730,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY731,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY731,Budapest,Nat,2,,,,,,,
,,,egyedi,eredeti,RMNY731,Cluj,Acad II,1,,,,,,,
,,,egyedi,eredeti,RMNY731,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY731,Zagreb,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY732,Alba Iulia,,2,,,,,,,
,,,egyedi,eredeti,RMNY732,Bratislava,MS,4,,,,,,,
,,,egyedi,eredeti,RMNY732,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY733,Budapest,Nat,2,,,,,,,
,,,egyedi,eredeti,RMNY733,Székesfehérvár,Dioec,4,,,,,,,
,,,egyedi,phot.,RMNY734,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY734,Tîrgu Mureş,,1,,,,,,,
,,,egyedi,phot.,RMNY734A,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY734A,Sighişoara,,4,,,,,,,
,,,egyedi,phot.,RMNY735,Budapest,Nat,phot.,,,(Graz),,,,
,,,egyedi,eredeti,RMNY735,Graz,OFM,1,,,,,,,
,,,egyedi,eredeti,RMNY735,Ljubljana,Semin,1,,,,,,,
,,,egyedi,phot.,RMNY736,Budapest,Nat,phot.,,,(Graz),,,,
,,,egyedi,eredeti,RMNY736,Graz,OFM,1,,,,,,,
,,,egyedi,eredeti,RMNY736,Ljubljana,Semin,1,,,,,,,
,,,egyedi,phot.,RMNY737,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY737,Graz,OFM,1,,,,,,,
,,,egyedi,eredeti,RMNY738,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY738,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY738,Budapest,Nat,2,*,,,,,,
,,,egyedi,eredeti,RMNY738,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY738,Debrecen,Ref,2,,,(RMK I 316),,,,
,,,egyedi,eredeti,RMNY738,Sárospatak,Ref,1,,,,,,,
,,,egyedi,phot.,RMNY739,Budapest,Acad,phot.,,,,,,,
,,,egyedi,eredeti,RMNY739,Kremnica,Ev,1,,,,,,,
,,,egyedi,phot.,RMNY740,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY740,Braşov,Ev,1,,,,,,,
,,,egyedi,phot.,RMNY741,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY741,Budapest,Csillag István,3,,,,,,,
,,,egyedi,eredeti,RMNY741,Budapest,Csillag István,4,,,,,,,
,,,,,RMNY742,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY743,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY743,Tîrgu Mureş,,1,,,,,,,
,,,,,RMNY744,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY745,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY745,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY745,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY745,"Cambridge, USA",Univ,0,,,,,,,
,,,egyedi,eredeti,RMNY745,Madrid,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY745,Napoli,Nat,0,,,,,,,
,,,egyedi,eredeti,RMNY745,Oxford,Bodleiana,0,,,,,,,
,,,egyedi,eredeti,RMNY745,Prešov,Scient,2,,,,,,,
,,,csoportos meghatározatlan,Ismeretlen számú példány,RMNY745,,,n.a.,,,,etc.,,,
,,,,,RMNY746,,,n.p.,,,,,,,
,,,,,RMNY747,,,n.p.,,,,,,,
,,,,,RMNY748,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY749,Budapest,Acad,phot.,,,,,,,
,,,egyedi,eredeti,RMNY749,Trnava,Arch,4,,,,,,,
,,,egyedi,eredeti,RMNY749,Trnava,Arch,4,,,,,,,
,,,egyedi,eredeti,RMNY749,Trnava,Arch,4,,,,,,,
,,,egyedi,eredeti,RMNY750,Berlin,Nat,1,,,,,,,
,,,egyedi,phot.,RMNY750,Budapest,Nat,phot.,,,,,,,
,,,,,RMNY751,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY752,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY752,Sibiu,Mus,1,,,,,,,
,,,,,RMNY753,,,n.p.,,,,,,,
,,,egyedi,phot.,RMNY754,Budapest,Nat,phot.,,,,,,,
,,,egyedi,eredeti,RMNY754,Sibiu,Arch,3,*,,,,,,
,,,egyedi,eredeti,RMNY754,Sibiu,Arch,4,*,,,,,,
,,,,,RMNY755,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY756,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY758,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY758,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY758,Kremnica,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY759,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY759,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Budapest,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY760,Kežmarok,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY761,Budapest,Acad,4,,,,,,,
,,,egyedi,eredeti,RMNY762,Budapest,Nat,4,,,,,,,
,,,egyedi,eredeti,RMNY762,Budapest,Nat,4,,,supl. phot. (Sibiu),,,,
,,,egyedi,eredeti,RMNY762,Sibiu,Arch,1,,,,,,,
,,,,,RMNY763,,,n.p.,,,,,,,
,,,egyedi,eredeti,RMNY764,Budapest,Nat,4,,,,,,,
,,,egyedi,eredeti,RMNY764,Bytča,Arch,3,,,,,,,
,,,egyedi,eredeti,RMNY765,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY765,Budapest,Nat,1,,,,,,,
,,,egyedi,eredeti,RMNY765,Budapest,Nat,2,,,,,,,
,,,egyedi,eredeti,RMNY765,Budapest,Nat,4,,,,,,,
,,,egyedi,eredeti,RMNY766,Budapest,Acad,1,,,,,,,
,,,egyedi,eredeti,RMNY766,Budapest,Acad,3,,,,,,,
