RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
,,,egyedi,eredeti,RMNY549,Budapest,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY549,Budapest,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY549,Cambridge/USA,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Cluj,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Debrecen,Ref,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Debrecen,Univ,2,,,,,,,
,,,egyedi,eredeti,RMNY549,Eger,Dioec,2,*,,,,,,
,,,egyedi,eredeti,RMNY549,Eger,Dioec,2,,,,,,,
,,,egyedi,eredeti,RMNY549,Esztergom,Dioec,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Göttingen,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Göttweig,,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Gyöngyös,,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Gyöngyös,,2,,,,,,,
,,,egyedi,eredeti,RMNY549,Jena,Univ,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Keszthely,,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Klosterneuburg,,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Kraków,Czartoryski,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Kraków,Univ,2,*,,,,,,
,,,egyedi,eredeti,RMNY549,Levoča,Ev,1,,,,,,,
,,,egyedi,eredeti,RMNY549,Pannonhalma,,1,,,,,,,
