RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
243,Gyulafehérvár,1568,Bethlen-kollégium,Nagyenyed,1762,KKK,10,127,,,,,,,,,,,,
247,Gyulafehérvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
254,Gyulafehérvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
256,Kolozsvár,1568,Zsámboky János,Wien,1587,Adattár,12/2,274,,,,,,,,,,,,
256,Kolozsvár,1568,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
259,Nagyvárad,1568,Ráday-család,Pécel,1730,KKK,7,165,,,,,,,,,,,,
259,Nagyvárad,1568,Bethlen-kollégium,Nagyenyed,1762,KKK,10,37,,,,,,,,,,,,
263,Debrecen,1569,Zsámboky János,Wien,1587,Adattár,12/2,285,,,,,,,,,,,,
266,Debrecen,1569,Bethlen-kollégium,Nagyenyed,1762,KKK,10,114,,,,,,,,,,,,
269,Gyulafehérvár,1569,Bethlen-kollégium,Nagyenyed,1762,KKK,10,16,,,,,,,,,,,,
269,Gyulafehérvár,1569,Dudith András,Wrocław,1589,Adattár,12/3,150,,,,,,,,,,,,
270,Gyulafehérvár,1569,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
277,Debrecen,1570,Rákóczi-család,Sárospatak,1660,KKK,1,161,,,,,,,,,,,,
277,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
279,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,74,,,,,,,,,,,,
279,Debrecen,1570,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
286,Kolozsvár,1570,Bethlen-kollégium,Nagyenyed,1762,KKK,10,96,,,,,,,,,,,,
288,Kolozsvár,1570,Rákóczi-család,Sárospatak,1660,KKK,1,166,,,,,,,,,,,,
297,Debrecen,1570,Batthyány Ádám,Németújvár,1651,KKK,4,191,,,,,,,,,,,,
304,Kolozsvár,1571,Bethlen-kollégium,Nagyenyed,1762,KKK,10,126,,,,,,,,,,,,
304,Kolozsvár,1571,Dudith András,Wrocław,1589,Adattár,12/3,43,,,,,,,,,,,,
304,Kolozsvár,1571,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
306,Bártfa,1586,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,306,,,,,,,,,,,,
