RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
1023,Pozsony,1611,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
1024,Pozsony,1611,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,255,,,,,,,,,,,,
1024,Pozsony,1611,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,259,,,,,,,,,,,,
1025,Pozsony,1611,Rákóczi-család,Sárospatak,1660,KKK,1,117,,,,,,,,,,,,
1025,Pozsony,1611,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
1030,Bártfa,1612,Rákóczi-család,Sárospatak,1660,KKK,1,166,,,,,,,,,,,,
1030,Bártfa,1612,Bethlen-kollégium,Nagyenyed,1762,KKK,10,227,,,,,,,,,,,,
1035,Kassa,1612,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,239,,,,,,,,,,,,
1035,Kassa,1612,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,259,,,,,,,,,,,,
1037,Oppenheim,1612,Bethlen-kollégium,Nagyenyed,1762,KKK,10,239,,,,,,,,,,,,
1037,Oppenheim,1612,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,102,,,,,,,,,,,,
1038,Oppenheim,1612,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
1038,Oppenheim,1612,Bethlen-kollégium,Nagyenyed,1762,KKK,10,403,,,,,,,,,,,,
1040,Pozsony,1612,Jezsuita rendház,Kassa,1680,Adattár,17/1,62,,,,,,,,,,,,
1040,Pozsony,1612,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,256,,,,,,,,,,,,
1040,Pozsony,1612,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,259,,,,,,,,,,,,
1042,Pozsony,1612,Bethlen-kollégium,Nagyenyed,1762,KKK,10,205,,,,,,,,,,,,
1057,Keresztúr,1613,Radvánszky László,Sajókaza,1750,Adattár,13/5,184,,,,,,,,,,,,
1057,Keresztúr,1613,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,305,,,,,,,,,,,,
1059,Pozsony,1613,Rákóczi-család,Sárospatak,1660,KKK,1,134,,,,,,,,,,,,
1059,Pozsony,1613,Ceglédi Szabó Pál,Pápa,1649,KKK,9,405,,,,,,,,,,,,
1059,Pozsony,1613,Református Kollégium,Debrecen,1738,Adattár,19/2,154,,,,,,,,,,,,
1063,Debrecen,1614,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
1067,Kassa,1614,Batthyány Ádám,Németújvár,1654,KKK,4,242,,,,,,,,,,,,
1072,Keresztúr,1614,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
1072,Keresztúr,1614,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
1073,Lőcse,1614,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
1075,Lőcse,1614,Rákóczi-család,Sárospatak,1660,KKK,1,166,,,,,,,,,,,,
1077,Lőcse,1614,Batthyány Ádám,Németújvár,1651,KKK,4,211,,,,,,,,,,,,
1077,Lőcse,1614,Batthyány Ádám,Németújvár,1654,KKK,4,252,,,,,,,,,,,,
1078,Pozsony,1614,Jezsuita-kollégium,Nagyszombat,1635,KKK,3,91,,,,,,,,,,,,
1080,Bécs,1615,Bethlen-kollégium,Nagyenyed,1762,KKK,10,370,,,,,,,,,,,,
1081,Debrecen,1615,Ráday-család,Pécel,1730,KKK,7,188,,,,,,,,,,,,
1081,Debrecen,1615,Bethlen-kollégium,Nagyenyed,1762,KKK,10,177,,,,,,,,,,,,
1083,Debrecen,1615,Rákóczi-család,Sárospatak,1660,KKK,1,166,,,,,,,,,,,,
1091,Keresztúr,1615,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
1091,Keresztúr,1615,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
1093,Praha,1615,Nádasdy Ferenc,Pottendorf,1669,KKK,8,556,,,,,,,,,,,,
1100,Bártfa,1616,Bethlen-kollégium,Nagyenyed,1762,KKK,10,236,,,,,,,,,,,,
1108,Debrecen,1616,Bethlen-kollégium,Nagyenyed,1762,KKK,10,216,,,,,,,,,,,,
1109,Debrecen,1616,Rákóczi-család,Sárospatak,1660,KKK,1,166,,,,,,,,,,,,
1116,Pozsony,1616,Rákóczi-család,Sárospatak,1660,KKK,1,158,,,,,,,,,,,,
1116,Pozsony,1616,Jezsuita-kollégium,Nagyszombat,1635,KKK,3,122,,,,,,,,,,,,
1116,Pozsony,1616,Bethlen-kollégium,Nagyenyed,1762,KKK,10,125,,,,,,,,,,,,
1116,Pozsony,1616,Bethlen Elek,Keresd,1683,Adattár,16/3,18,,,,,,,,,,,,
1116,Pozsony,1616,Jezsuita rendház,Pozsony,1663,Adattár,17/1,211,,,,,,,,,,,,
1119,Praha,1616,Rákóczi-család,Sárospatak,1660,KKK,1,159,,,,,,,,,,,,
1119,Praha,1616,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,264,,,,,,,,,,,,
1128,Wien,1617,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,350,,,,,,,,,,,,
1131,Debrecen,1617,Rákóczi-család,Sárospatak,1660,KKK,1,165,,,,,,,,,,,,
1131,Debrecen,1617,Bethlen-kollégium,Nagyenyed,1762,KKK,10,228,,,,,,,,,,,,
1132,Debrecen,1617,Rákóczi-család,Sárospatak,1660,KKK,1,155,,,,,,,,,,,,
1132,Debrecen,1617,Bethlen-kollégium,Nagyenyed,1762,KKK,10,120,,,,,,,,,,,,
1141,Lőcse,1617,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,305,,,,,,,,,,,,
1144,Oppenheim,1617,Bethlen-kollégium,Nagyenyed,1762,KKK,10,25,,,,,,,,,,,,
1144,Oppenheim,1617,Szegedi István,Kassa,1628,Adattár,15,22,,,,,,,,,,,,
1146,Praha,1617,Rákóczi-család,Sárospatak,1660,KKK,1,155,,,,,,,,,,,,
1146,Praha,1617,Bethlen-kollégium,Nagyenyed,1762,KKK,10,104,,,,,,,,,,,,
1151,Wien,1618,Jezsuita rendház,Kassa,1680,Adattár,17/1,85,,,,,,,,,,,,
1155,Kassa,1618,Rákóczi-család,Sárospatak,1660,KKK,1,163,,,,,,,,,,,,
1166,Oppenheim,1618,Bethlen-kollégium,Nagyenyed,1762,KKK,10,38,,,,,,,,,,,,
1166,Oppenheim,1618,Miskolci Csulyak István,Olaszliszka,1646,Adattár,13/1,65,,,,,,,,,,,,
1171,Bártfa,1619,Rákóczi-család,Sárospatak,1660,KKK,1,165,,,,,,,,,,,,
1172,Debrecen,1619,Batthyány Ádám,Németújvár,1651,KKK,4,194,,,,,,,,,,,,
1172,Debrecen,1619,Batthyány Ádám,Németújvár,1651,KKK,4,194,,,,,,,,,,,,
1174,Debrecen,1619,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
1174,Debrecen,1619,Batthyány Ádám,Németújvár,1651,KKK,4,204,,,,,,,,,,,,
1174,Debrecen,1619,Bethlen-kollégium,Nagyenyed,1762,KKK,10,203,,,,,,,,,,,,
1174,Debrecen,1619,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
1174,Debrecen,1619,Radvánszky László,Sajókaza,1750,Adattár,13/5,186,,,,,,,,,,,,
1174,Debrecen,1619,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,124,,,,,,,,,,,,
1184,Keresztúr,1619,Nádasdy Ferenc,Pottendorf,1669,KKK,8,556,,,,,,,,,,,,
1187,Kolozsvár,1619,Bethlen-kollégium,Nagyenyed,1762,KKK,10,148,,,,,,,,,,,,
1193,Nagyszombat,1619,Batthyány Ádám,Németújvár,1642,KKK,4,153,,,,,,,,,,,,
1193,Nagyszombat,1619,Batthyány Ádám,Németújvár,1644,KKK,4,182,,,,,,,,,,,,
1193,Nagyszombat,1619,Batthyány Ádám,Németújvár,1653,KKK,4,233,,,,,,,,,,,,
1193,Nagyszombat,1619,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,260,,,,,,,,,,,,
1202,Wien,1620,Batthyány Ádám,Németújvár,1644,KKK,4,185,,,,,,,,,,,,
1210,Kassa,1620,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,305,,,,,,,,,,,,
1215,Kassa,1620,Batthyány Ádám,Németújvár,1651,KKK,4,191,,,,,,,,,,,,
1219,Kassa,1620,Bethlen-kollégium,Nagyenyed,1762,KKK,10,397,,,,,,,,,,,,
1236,Debrecen,1621,Rákóczi-család,Sárospatak,1660,KKK,1,161,,,,,,,,,,,,
1236,Debrecen,1621,Bethlen-kollégium,Nagyenyed,1762,KKK,10,93,,,,,,,,,,,,
1236,Debrecen,1621,Református Kollégium,Debrecen,1738,Adattár,19/2,124,,,,,,,,,,,,
1237,Debrecen,1621,Rákóczi-család,Sárospatak,1660,KKK,1,162,,,,,,,,,,,,
1237,Debrecen,1621,Bethlen-kollégium,Nagyenyed,1762,KKK,10,222,,,,,,,,,,,,
1237,Debrecen,1621,Bethlen-kollégium,Nagyenyed,1762,KKK,10,251,,,,,,,,,,,,
1238,Heidelberg,1621,Rákóczi-család,Sárospatak,1660,KKK,1,162,,,,,,,,,,,,
1238,Heidelberg,1621,Bethlen-kollégium,Nagyenyed,1762,KKK,10,178,,,,,,,,,,,,
1239,Heidelberg,1621,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,105,,,,,,,,,,,,
1251,Kolozsvár,1621,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
1251,Kolozsvár,1621,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,103,,,,,,,,,,,,
1262,Debrecen,1622,Ráday-család,Pécel,1730,KKK,7,213,,,,,,,,,,,,
1262,Debrecen,1622,Bethlen-kollégium,Nagyenyed,1762,KKK,10,90,,,,,,,,,,,,
1262,Debrecen,1622,Református Kollégium,Debrecen,1738,Adattár,19/2,144,,,,,,,,,,,,
1283,Bártfa,1623,Bethlen-kollégium,Nagyenyed,1762,KKK,10,391,,,,,,,,,,,,
1287,Kassa,1623,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,305,,,,,,,,,,,,
1289,Kassa,1623,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,124,,,,,,,,,,,,
1293,Pozsony,1623,Batthyány Ádám,Németújvár,1644,KKK,4,164,,,,,,,,,,,,
1293,Pozsony,1623,Batthyány Ádám,Németújvár,1653,KKK,4,235,,,,,,,,,,,,
1293,Pozsony,1623,Jezsuita rendház,Kassa,1680,Adattár,17/1,86,,,,,,,,,,,,
1294,Praha,1623,Batthyány Ádám,Németújvár,1651,KKK,4,204,,,,,,,,,,,,
1297,Wien,1624,Batthyány Ádám,Németújvár,1651,KKK,4,206,,,,,,,,,,,,
1297,Wien,1624,Batthyány Ádám,Németújvár,1651,KKK,4,206,,,,,,,,,,,,
1306,Gyulafehérvár,1624,Bethlen-kollégium,Nagyenyed,1762,KKK,10,87,,,,,,,,,,,,
1307,Gyulafehérvár,1624,Rákóczi-család,Sárospatak,1660,KKK,1,158,,,,,,,,,,,,
1307,Gyulafehérvár,1624,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,123,,,,,,,,,,,,
1308,Hanau,1624,Rákóczi-család,Sárospatak,1660,KKK,1,147,,,,,,,,,,,,
1308,Frankfurt am Main,1624,Bethlen-kollégium,Nagyenyed,1762,KKK,10,91,,,,,,,,,,,,
1308,Hanau,1624,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,100,,,,,,,,,,,,
1311,Kolozsvár,1624,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
1324,Csepreg,1625,Ceglédi Szabó Pál,Pápa,1649,KKK,9,417,,,,,,,,,,,,
1326,Csepreg,1625,Ceglédi Szabó Pál,Pápa,1649,KKK,9,417,,,,,,,,,,,,
1334,Kassa,1625,Rákóczi-család,Sárospatak,1660,KKK,1,163,,,,,,,,,,,,
1334,Kassa,1625,Alvinczi Péter,Kassa,1645,Adattár,15,32,,,,,,,,,,,,
1334,Kassa,1625,Szegedi György,Kassa,1646,Adattár,15,35,,,,,,,,,,,,
1343,Pápa,1625,Ceglédi Szabó Pál,Pápa,1649,KKK,9,415,,,,,,,,,,,,
1345,Pozsony,1625,Bethlen-kollégium,Nagyenyed,1762,KKK,10,427,,,,,,,,,,,,
1346,Pozsony,1625,"Busso, Johann",Mikulov,1645,Adattár,12/2,149,,,,,,,,,,,,
1347,Bártfa,1626,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
1347,Bártfa,1626,Batthyány Ádám,Németújvár,1651,KKK,4,204,,,,,,,,,,,,
1347,Bártfa,1626,Bethlen-kollégium,Nagyenyed,1762,KKK,10,275,,,,,,,,,,,,
1348,Bártfa,1626,Kassai Szabó András,Kassa,1656,Adattár,15,48,,,,,,,,,,,,
1351,Wien,1626,Rákóczi-család,Sárospatak,1660,KKK,1,161,,,,,,,,,,,,
1351,Wien,1626,Batthyány Ádám,Németújvár,1644,KKK,4,161,,,,,,,,,,,,
1351,Wien,1626,Batthyány Ádám,Németújvár,1653,KKK,4,236,,,,,,,,,,,,
1351,Wien,1626,Jezsuita rendház,Kassa,1680,Adattár,17/1,86,,,,,,,,,,,,
1352,Wien,1626,Batthyány Ádám,Németújvár,1642,KKK,4,157,,,,,,,,,,,,
1352,Wien,1626,Batthyány Ádám,Németújvár,1653,KKK,4,234,,,,,,,,,,,,
1352,Wien,1626,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
1352,Wien,1626,"Busso, Johann",Mikulov,1645,Adattár,12/3,151,,,,,,,,,,,,
1352,Wien,1626,Esterházy József,Cseklész,1749,Adattár,13/5,128,,,,,,,,,,,,
1352,Wien,1626,Jezsuita rendház,Kassa,1680,Adattár,17/1,85,,,,,,,,,,,,
1352,Wien,1626,Jezsuita rendház,Pozsony,1663,Adattár,17/1,146,,,,,,,,,,,,
1352,Wien,1626,Katolikus plébánia,Endrőd,1788,Adattár,19/4,50,,,,,,,,,,,,
1352,Wien,1626,Katolikus plébánia,Kárásztelek,1766,Adattár,19/4,96,,,,,,,,,,,,
1352,Wien,1626,Batthyány Lajos Ernő,Wien,1743,Adattár,13/7,73,,,,,,,,,,,,
1352,Wien,1626,Batthyány Lajos Ernő,Wien,1743,KKK,12,5,,,,,,,,,,,,
1354,Csepreg,1626,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
1360,Kassa,1626,Bethlen-kollégium,Nagyenyed,1762,KKK,10,115,,,,,,,,,,,,
1360,Kassa,1626,Jezsuita rendház,Pozsony,1663,Adattár,17/1,210,,,,,,,,,,,,
1366,Kassa,1626,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,305,,,,,,,,,,,,
1372,Pápa,1626,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
1376,Wien,1627,Rákóczi-család,Sárospatak,1660,KKK,1,146,,,,,,,,,,,,
1376,Wien,1627,Batthyány Ádám,Németújvár,1644,KKK,4,161,,,,,,,,,,,,
1376,Wien,1627,Batthyány Ádám,Németújvár,1653,KKK,4,236,,,,,,,,,,,,
1376,Wien,1627,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
1376,Wien,1627,Esterházy József,Cseklész,1749,Adattár,13/5,129,,,,,,,,,,,,
1376,Wien,1627,Jezsuita rendház,Kassa,1680,Adattár,17/1,85,,,,,,,,,,,,
1391,Kraków,1627,Rákóczi-család,Sárospatak,1660,KKK,1,160,,,,,,,,,,,,
1393,Lyon,1627,Bethlen-kollégium,Nagyenyed,1762,KKK,10,388,,,,,,,,,,,,
1395,Lőcse,1627,Rákóczi-család,Sárospatak,1660,KKK,1,160,,,,,,,,,,,,
1395,Lőcse,1627,Batthyány Ádám,Németújvár,1651,KKK,4,190,,,,,,,,,,,,
1400,Bártfa,1628,Batthyány Ádám,Németújvár,1644,KKK,4,173,,,,,,,,,,,,
1400,Bártfa,1628,Bethlen-kollégium,Nagyenyed,1762,KKK,10,7,,,,,,,,,,,,
1400,Bártfa,1628,Apáti Madár Miklós,Debrecen,1680,Adattár,14,323,,,,,,,,,,,,
1400,Bártfa,1628,Serédi Benedek,Kolozsvár,1678,Adattár,16/2,10,,,,,,,,,,,,
1400,Bártfa,1628,Ölyvesi Balázs,Nagyenyed,1676,Adattár,16/2,122,,,,,,,,,,,,
1416,Lőcse,1628,Batthyány Ádám,Németújvár,1651,KKK,4,192,,,,,,,,,,,,
1418,Lőcse,1625,Batthyány Ádám,Németújvár,1651,KKK,4,195,,,,,,,,,,,,
1419,Pápa,1628,Bethlen-kollégium,Nagyenyed,1762,KKK,10,123,,,,,,,,,,,,
1423,Wien,1629,Batthyány Ádám,Németújvár,1644,KKK,4,184,,,,,,,,,,,,
1423,Wien,1629,Batthyány Ádám,Németújvár,1651,KKK,4,210,,,,,,,,,,,,
1427,Debrecen,1629,Rákóczi-család,Sárospatak,1660,KKK,1,156,,,,,,,,,,,,
1427,Debrecen,1629,Bethlen-kollégium,Nagyenyed,1762,KKK,10,45,,,,,,,,,,,,
1427,Debrecen,1629,Esterházy József,Cseklész,1749,Adattár,13/5,116,,,,,,,,,,,,
1439,Lőcse,1629,Bethlen-kollégium,Nagyenyed,1762,KKK,10,296,,,,,,,,,,,,
1441,Lőcse,1629,Batthyány Ádám,Németújvár,1651,KKK,4,195,,,,,,,,,,,,
1441,Lőcse,1629,Batthyány Ádám,Németújvár,1651,KKK,4,202,,,,,,,,,,,,
1448,Pozsony,1629,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,91,,,,,,,,,,,,
1448,Pozsony,1629,Radvánszky László,Sajókaza,1750,Adattár,13/5,179,,,,,,,,,,,,
1448,Pozsony,1629,Jezsuita rendház,Kassa,1680,Adattár,17/1,62,,,,,,,,,,,,
1448,Pozsony,1629,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,294,,,,,,,,,,,,
1451,Nagyszeben,1629,Batthyány Ádám,Németújvár,1644,KKK,4,184,,,,,,,,,,,,
1451,Nagyszeben,1629,Batthyány Ádám,Németújvár,1653,KKK,4,238,,,,,,,,,,,,
1466,Gyulafehérvár,1630,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,14,,,,,,,,,,,,
1467,Gyulafehérvár,1630,Rákóczi-család,Sárospatak,1660,KKK,1,163,,,,,,,,,,,,
1467,Gyulafehérvár,1630,Bethlen-kollégium,Nagyenyed,1762,KKK,10,235,,,,,,,,,,,,
1468,Gyulafehérvár,1630,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,22,,,,,,,,,,,,
1483,Lőcse,1630,Batthyány Ádám,Németújvár,1644,KKK,4,161,,,,,,,,,,,,
1483,Lőcse,1630,Ráday-család,Pécel,1730,KKK,7,198,,,,,,,,,,,,
1483,Lőcse,1630,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
1485,Pozsony,1630,Bethlen-kollégium,Nagyenyed,1762,KKK,10,128,,,,,,,,,,,,
1489,Wien,1631,Batthyány Ádám,Németújvár,1651,KKK,4,210,,,,,,,,,,,,
1509,Pozsony,1631,Rákóczi-család,Sárospatak,1660,KKK,1,146,,,,,,,,,,,,
1509,Pozsony,1631,Batthyány Ádám,Németújvár,1644,KKK,4,165,,,,,,,,,,,,
1509,Pozsony,1631,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,265,,,,,,,,,,,,
1509,Pozsony,1631,Nádasdy Ferenc,Pottendorf,1669,KKK,8,375,,,,,,,,,,,,
1509,Pozsony,1631,Jezsuita rendház,Kassa,1680,Adattár,17/1,27,,,,,,,,,,,,
1509,Pozsony,1631,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,262,,,,,,,,,,,,
1510,Pozsony,1631,Batthyány Ádám,Németújvár,1644,KKK,4,165,,,,,,,,,,,,
1510,Pozsony,1631,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,265,,,,,,,,,,,,
1511,Pozsony,1631,Bethlen-kollégium,Nagyenyed,1762,KKK,10,398,,,,,,,,,,,,
1519,Bártfa,1632,Batthyány Ádám,Németújvár,1654,KKK,4,252,,,,,,,,,,,,
1520,Bártfa,1632,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,303,,,,,,,,,,,,
1521,Bártfa,1632,Rákóczi-család,Sárospatak,1660,KKK,1,116,,,,,,,,,,,,
1521,Bártfa,1632,Batthyány Ádám,Németújvár,1642,KKK,4,152,,,,,,,,,,,,
1521,Bártfa,1632,Batthyány Ádám,Németújvár,1644,KKK,4,182,,,,,,,,,,,,
1521,Bártfa,1632,Batthyány Ádám,Németújvár,1653,KKK,4,232,,,,,,,,,,,,
1521,Bártfa,1632,Jezsuita rendház,Kassa,1680,Adattár,17/1,78,,,,,,,,,,,,
1524,Debrecen,1632,Bethlen-kollégium,Nagyenyed,1762,KKK,10,223,,,,,,,,,,,,
1525,Debrecen,1632,Miskolci Csulyak István,Olaszliszka,1646,Adattár,13/1,76,,,,,,,,,,,,
1534,Gyulafehérvár,1632,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
1534,Gyulafehérvár,1632,Bethlen-kollégium,Nagyenyed,1762,KKK,10,54,,,,,,,,,,,,
1534,Gyulafehérvár,1632,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
1535,Kassa,1632,Rákóczi-család,Sárospatak,1660,KKK,1,161,,,,,,,,,,,,
1535,Kassa,1632,Bethlen-kollégium,Nagyenyed,1762,KKK,10,52,,,,,,,,,,,,
1536,Kassa,1632,Rákóczi-család,Sárospatak,1660,KKK,1,147,,,,,,,,,,,,
1536,Kassa,1628,Aranyasi János,Kassa,1651,Adattár,15,40,,,,,,,,,,,,
1553,Pápa,1632,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
1553,Pápa,1632,Tatai János,Komárom vármegye,1704,Adattár,13/1,164,,,,,,,,,,,,
1561,Debrecen,1633,Református Kollégium,Marosvásárhely,1707,Adattár,16/2,104,,,,,,,,,,,,
1566,Kassa,1633,Rákóczi-család,Sárospatak,1660,KKK,1,147,,,,,,,,,,,,
1566,Kassa,1633,Batthyány Ádám,Németújvár,1654,KKK,4,249,,,,,,,,,,,,
1566,Kassa,1633,Bethlen-kollégium,Nagyenyed,1762,KKK,10,145,,,,,,,,,,,,
1566,Kassa,1633,Jezsuita rendház,Kassa,1680,Adattár,17/1,19,,,,,,,,,,,,
1571,Lőcse,1633,Batthyány Ádám,Németújvár,1651,KKK,4,191,,,,,,,,,,,,
1574,Csepreg,1634,Bethlen-kollégium,Nagyenyed,1762,KKK,10,258,,,,,,,,,,,,
1576,Debrecen,1634,Bethlen-kollégium,Nagyenyed,1762,KKK,10,196,,,,,,,,,,,,
1583,Kassa,1634,Bethlen-kollégium,Nagyenyed,1762,KKK,10,146,,,,,,,,,,,,
1585,Pozsony,1630,Jezsuita rendház,Kassa,1680,Adattár,17/1,86,,,,,,,,,,,,
1586,Kolozsvár,1634,Bethlen-kollégium,Nagyenyed,1762,KKK,10,321,,,,,,,,,,,,
1602,Csepreg,1635,Batthyány Ádám,Németújvár,1654,KKK,4,250,,,,,,,,,,,,
1602,Csepreg,1635,Bethlen-kollégium,Nagyenyed,1762,KKK,10,136,,,,,,,,,,,,
1612,Gyulafehérvár,1630,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,14,,,,,,,,,,,,
1629,Lőcse,1635,Radvánszky László,Sajókaza,1750,Adattár,13/5,181,,,,,,,,,,,,
1630,Lőcse,1635,Ráday-család,Pécel,1730,KKK,7,185,,,,,,,,,,,,
1634,Bártfa,1636,Rákóczi-család,Sárospatak,1660,KKK,1,74,,,,,,,,,,,,
1634,Bártfa,1636,Ráday-család,Pécel,1730,KKK,7,148,,,,,,,,,,,,
1639,Debrecen,1636,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
1639,Debrecen,1636,Batthyány Ádám,Németújvár,1651,KKK,4,207,,,,,,,,,,,,
1639,Debrecen,1636,Batthyány Ádám,Németújvár,1654,KKK,4,251,,,,,,,,,,,,
1643,Gyulafehérvár,1636,Bethlen-kollégium,Nagyenyed,1762,KKK,10,1,,,,,,,,,,,,
1654,Lőcse,1636,Bethlen-kollégium,Nagyenyed,1762,KKK,10,59,,,,,,,,,,,,
1659,Pozsony,1636,Batthyány Ádám,Németújvár,1644,KKK,4,164,,,,,,,,,,,,
1659,Pozsony,1636,Batthyány Ádám,Németújvár,1653,KKK,4,235,,,,,,,,,,,,
1659,Pozsony,1636,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,265,,,,,,,,,,,,
1659,Pozsony,1636,Nádasdy Ferenc,Pottendorf,1669,KKK,8,375,,,,,,,,,,,,
1659,Pozsony,1636,Bethlen-kollégium,Nagyenyed,1762,KKK,10,14,,,,,,,,,,,,
1659,Pozsony,1636,Jezsuita rendház,Znióváralja,1704,Adattár,11,549,,,,,,,,,,,,
1659,Pozsony,1636,Radvánszky László,Sajókaza,1750,Adattár,13/5,179,,,,,,,,,,,,
1659,Pozsony,1636,Jezsuita rendház,Kassa,1680,Adattár,17/1,19,,,,,,,,,,,,
1659,Pozsony,1636,Jezsuita rendház,Kassa,1680,Adattár,17/1,64,,,,,,,,,,,,
1659,Pozsony,1636,Jezsuita rendház,Kassa,1680,Adattár,17/1,85,,,,,,,,,,,,
1659,Pozsony,1636,Jezsuita rendház,Znióváralja,1704,Adattár,17/1,242,,,,,,,,,,,,
1667,Wien,1637,Batthyány Ádám,Németújvár,1638,KKK,4,265,,,,,,,,,,,,
1667,Wien,1637,Batthyány Ádám,Németújvár,1638,KKK,4,265,,,,,,,,,,,,
1670,Debrecen,1637,Bethlen-kollégium,Nagyenyed,1762,KKK,10,408,,,,,,,,,,,,
1671,Debrecen,1637,Ráday-család,Pécel,1730,KKK,7,173,,,,,,,,,,,,
1671,Debrecen,1637,Bethlen-kollégium,Nagyenyed,1762,KKK,10,387,,,,,,,,,,,,
1674,Gyulafehérvár,1637,Rákóczi-család,Sárospatak,1660,KKK,1,53,,,,,,,,,,,,
1674,Gyulafehérvár,1637,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,23,,,,,,,,,,,,
1676,Kassel,1637,"Bisterfeld, Johann",Gyulafehérvár,1655,KKK,6,22,,,,,,,,,,,,
1678,Leiden,1637,Batthyány Ádám,Németújvár,1651,KKK,4,207,,,,,,,,,,,,
1678,Leiden,1637,Batthyány Ádám,Németújvár,1654,KKK,4,251,,,,,,,,,,,,
1678,Leiden,1637,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
1688,Lőcse,1637,Jezsuita rendház,Kassa,1680,Adattár,17/1,78,,,,,,,,,,,,
1695,Pozsony,1637,Batthyány Ádám,Németújvár,1642,KKK,4,155,,,,,,,,,,,,
1697,Pozsony,1637,Bethlen-kollégium,Nagyenyed,1762,KKK,10,15,,,,,,,,,,,,
1697,Pozsony,1637,Esterházy József,Cseklész,1749,Adattár,13/5,128,,,,,,,,,,,,
1697,Pozsony,1637,Radvánszky László,Sajókaza,1750,Adattár,13/5,179,,,,,,,,,,,,
1697,Pozsony,1637,Jezsuita rendház,Kassa,1680,Adattár,17/1,62,,,,,,,,,,,,
1703,Trencsén,1637,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,241,,,,,,,,,,,,
1713,Wien,1638,Radvánszky László,Sajókaza,1750,Adattár,13/5,185,,,,,,,,,,,,
